#Depth	GR	RT	RI	RXO	DEN	SP
20.000	43.659	0.200	0.200	0.200	2.355	23.782
20.125	49.481	0.200	0.200	0.200	2.355	23.782
20.250	50.257	0.200	0.200	0.200	2.355	23.782
20.375	49.772	0.200	0.200	0.200	2.355	23.782
20.500	46.633	0.200	0.200	0.200	2.355	23.782
20.625	41.137	0.200	0.200	0.200	2.355	23.782
20.750	42.107	0.200	0.200	0.200	2.355	23.782
20.875	40.651	0.200	0.200	0.200	2.355	23.782
21.000	41.396	0.200	0.200	0.200	2.355	23.782
21.125	40.554	0.200	0.200	0.200	2.355	23.782
21.250	37.642	0.200	0.200	0.200	2.355	23.782
21.375	35.026	0.200	0.200	0.200	2.355	23.782
21.500	37.451	0.200	0.200	0.200	2.355	23.782
21.625	38.744	0.200	0.200	0.200	2.355	23.782
21.750	42.886	0.200	0.200	0.200	2.355	23.782
21.875	43.755	0.200	0.200	0.200	2.355	23.782
22.000	42.883	0.200	0.200	0.200	2.355	23.782
22.125	42.882	0.200	0.200	0.200	2.355	23.782
22.250	40.943	0.200	0.200	0.200	2.355	23.782
22.375	41.266	0.200	0.200	0.200	2.355	23.782
22.500	39.647	0.200	0.200	0.200	2.355	23.782
22.625	39.391	0.200	0.200	0.200	2.355	23.782
22.750	39.778	0.200	0.200	0.200	2.355	23.782
22.875	39.813	0.200	0.200	0.200	2.355	23.782
23.000	41.916	0.200	0.200	0.200	2.355	23.782
23.125	44.826	0.200	0.200	0.200	2.355	23.782
23.250	45.017	0.200	0.200	0.200	2.355	23.782
23.375	44.240	0.200	0.200	0.200	2.355	23.782
23.500	43.076	0.200	0.200	0.200	2.355	23.782
23.625	42.596	0.200	0.200	0.200	2.355	23.782
23.750	45.988	0.200	0.200	0.200	2.355	23.782
23.875	45.826	0.200	0.200	0.200	2.355	23.782
24.000	45.794	0.200	0.200	0.200	2.355	23.782
24.125	42.002	0.200	0.200	0.200	2.355	23.782
24.250	37.902	0.200	0.200	0.200	2.355	23.782
24.375	36.474	0.200	0.200	0.200	2.355	23.782
24.500	32.603	0.200	0.200	0.200	2.355	23.782
24.625	35.514	0.200	0.200	0.200	2.355	23.782
24.750	38.425	0.200	0.200	0.200	2.355	23.782
24.875	39.876	0.200	0.200	0.200	2.355	23.782
25.000	40.751	0.200	0.200	0.200	2.355	23.782
25.125	41.489	0.200	0.200	0.200	2.355	23.782
25.250	39.394	0.200	0.200	0.200	2.355	23.782
25.375	41.334	0.200	0.200	0.200	2.355	23.782
25.500	43.275	0.200	0.200	0.200	2.355	23.782
25.625	45.312	0.200	0.200	0.200	2.355	23.782
25.750	46.830	0.200	0.200	0.200	2.355	23.782
25.875	46.367	0.200	0.200	0.200	2.355	23.782
26.000	41.529	0.200	0.200	0.200	2.355	23.782
26.125	43.469	0.200	0.200	0.200	2.355	23.782
26.250	48.003	0.200	0.200	0.200	2.355	23.782
26.375	53.859	0.200	0.200	0.200	2.355	23.782
26.500	58.801	0.200	0.200	0.200	2.355	23.782
26.625	60.437	0.200	0.200	0.200	2.355	23.782
26.750	57.048	0.200	0.200	0.200	2.355	23.782
26.875	57.048	0.200	0.200	0.200	2.355	23.782
27.000	48.876	0.200	0.200	0.200	2.355	23.782
27.125	44.726	0.200	0.200	0.200	2.355	23.782
27.250	44.630	0.200	0.200	0.200	2.355	23.782
27.375	45.807	0.200	0.200	0.200	2.355	23.782
27.500	51.625	0.200	0.200	0.200	2.355	23.782
27.625	55.667	0.200	0.200	0.200	2.355	23.782
27.750	61.656	0.200	0.200	0.200	2.355	23.782
27.875	70.073	0.200	0.200	0.200	2.355	23.782
28.000	77.432	0.200	0.200	0.200	2.355	23.782
28.125	79.708	0.200	0.200	0.200	2.355	23.782
28.250	75.658	0.200	0.200	0.200	2.355	23.782
28.375	68.866	0.200	0.200	0.200	2.355	23.782
28.500	63.243	0.200	0.200	0.200	2.355	23.782
28.625	59.369	0.200	0.200	0.200	2.355	23.782
28.750	55.872	0.200	0.200	0.200	2.355	23.782
28.875	51.309	0.200	0.200	0.200	2.355	23.782
29.000	45.993	0.200	0.200	0.200	2.355	23.782
29.125	47.772	0.200	0.200	0.200	2.355	23.782
29.250	48.901	0.200	0.200	0.200	2.355	23.782
29.375	50.164	0.200	0.200	0.200	2.355	23.782
29.500	48.752	0.200	0.200	0.200	2.355	23.782
29.625	44.077	0.200	0.200	0.200	2.355	23.782
29.750	43.271	0.200	0.200	0.200	2.355	23.782
29.875	43.271	0.200	0.200	0.200	2.355	23.782
30.000	44.830	0.200	0.200	0.200	2.355	23.782
