#Depth	SP	GR	RI	RT	RXO	DEN
66.000	34.841	40.834	0.039	0.031	0.481	2.331
66.125	32.361	43.433	0.079	0.044	0.427	2.327
66.250	28.737	44.864	0.214	0.133	0.413	2.307
66.375	24.448	46.278	0.524	0.365	1.383	2.260
66.500	19.944	48.857	1.184	0.916	4.323	2.194
66.625	15.451	52.149	2.315	1.952	7.164	2.133
66.750	11.800	55.253	3.791	3.442	7.933	2.104
66.875	9.141	59.045	5.116	4.661	7.455	2.107
67.000	7.113	62.367	5.918	5.327	6.983	2.128
67.125	5.501	65.141	6.287	5.461	6.944	2.146
67.250	4.303	68.428	6.393	5.381	7.080	2.155
67.375	3.365	70.250	6.588	5.435	7.177	2.157
67.500	2.602	68.373	6.820	5.605	7.340	2.157
67.625	1.961	65.824	7.018	5.797	7.518	2.156
67.750	1.394	66.057	7.221	6.003	7.635	2.157
67.875	0.939	66.742	7.498	6.317	7.968	2.169
68.000	0.588	64.965	7.858	6.680	8.299	2.200
68.125	0.251	62.059	8.187	7.028	8.141	2.250
68.250	-0.289	61.047	8.306	7.186	7.777	2.302
68.375	-1.230	62.385	8.132	7.144	7.626	2.332
68.500	-2.196	63.255	7.688	6.837	7.700	2.322
68.625	-3.061	64.227	7.111	6.356	7.641	2.287
68.750	-3.501	68.498	6.553	5.941	7.156	2.248
68.875	-3.511	75.986	6.097	5.657	6.628	2.224
69.000	-3.296	82.068	5.942	5.660	6.482	2.214
69.125	-3.097	82.842	6.144	6.141	6.685	2.208
69.250	-3.272	79.086	6.564	6.736	8.250	2.200
69.375	-3.921	73.925	7.055	7.305	14.678	2.189
69.500	-4.796	69.199	7.408	7.773	23.905	2.179
69.625	-5.657	66.932	7.469	7.798	23.277	2.172
69.750	-6.257	69.045	7.306	7.636	12.886	2.169
69.875	-6.341	75.406	7.023	7.368	7.055	2.167
70.000	-6.019	81.545	6.743	6.999	6.739	2.165
70.125	-5.622	84.011	6.642	6.882	6.739	2.162
70.250	-5.339	81.437	6.682	6.951	6.979	2.159
70.375	-5.069	76.624	6.793	7.185	7.270	2.158
70.500	-4.992	74.271	6.931	7.502	7.533	2.161
70.625	-5.177	76.521	7.041	7.752	7.842	2.166
70.750	-5.441	81.386	7.092	7.929	7.895	2.170
70.875	-5.753	83.517	7.075	8.007	7.612	2.172
71.000	-5.990	82.214	6.982	8.038	7.211	2.173
71.125	-6.105	80.026	6.805	7.993	6.801	2.176
71.250	-6.190	79.828	6.535	7.827	6.545	2.184
71.375	-6.278	82.804	6.162	7.465	6.611	2.197
71.500	-6.368	86.817	5.730	6.987	6.593	2.214
71.625	-6.434	88.908	5.339	6.537	6.315	2.233
71.750	-6.461	90.547	5.106	6.283	6.225	2.248
71.875	-6.250	93.315	5.017	6.244	6.154	2.256
72.000	-5.684	94.278	5.155	6.560	6.441	2.254
72.125	-4.941	92.194	5.439	7.069	6.851	2.244
72.250	-4.193	91.255	5.792	7.694	6.511	2.227
72.375	-3.791	91.143	6.137	8.280	6.571	2.207
72.500	-3.882	86.980	6.374	8.732	7.338	2.187
72.625	-4.330	79.718	6.538	9.088	7.643	2.172
72.750	-5.026	75.940	6.491	9.087	7.382	2.172
72.875	-5.574	77.474	6.233	8.754	7.208	2.186
73.000	-5.606	80.461	5.800	8.130	7.251	2.210
