#Depth	GR	RT	RI	RXO	DEN	SP
50.000	25.781	0.200	0.200	0.200	2.389	110.281
50.125	24.815	0.200	0.200	0.200	2.379	109.945
50.250	24.172	0.200	0.200	0.200	2.367	109.695
50.375	25.105	0.200	0.200	0.200	2.349	109.534
50.500	27.036	0.200	0.200	0.200	2.327	109.465
50.625	29.741	0.200	0.200	0.200	2.308	109.486
50.750	35.534	0.200	0.200	0.200	2.299	109.598
50.875	40.363	0.200	0.200	0.200	2.302	109.810
51.000	45.706	0.228	0.214	0.200	2.311	110.088
51.125	48.811	0.284	0.211	0.206	2.316	110.416
51.250	49.083	0.853	0.200	0.228	2.319	110.774
51.375	47.345	1.891	0.200	0.261	2.324	111.145
51.500	45.093	1.817	0.200	0.256	2.331	111.508
51.625	45.173	1.752	0.200	0.220	2.343	111.833
51.750	47.766	0.712	0.200	0.204	2.351	112.113
51.875	50.405	0.200	0.200	0.200	2.347	112.342
52.000	52.271	0.200	0.200	0.200	2.329	112.517
52.125	52.654	0.200	0.200	0.200	2.305	112.639
52.250	49.436	0.200	0.200	0.200	2.284	112.713
52.375	47.183	0.200	0.200	0.200	2.301	112.737
52.500	42.095	0.200	0.200	0.200	2.344	112.728
52.625	37.848	0.200	0.200	0.200	2.394	112.691
52.750	34.242	0.200	0.200	0.200	2.427	112.624
52.875	30.818	0.200	0.200	0.200	2.429	112.525
53.000	30.414	0.200	0.200	0.200	2.397	112.387
53.125	28.805	0.200	0.200	0.200	2.351	112.177
53.250	27.453	0.200	0.200	0.200	2.315	111.886
53.375	26.601	0.200	0.200	0.200	2.294	111.494
53.500	27.167	0.200	0.200	0.200	2.286	110.984
53.625	29.356	0.200	0.200	0.200	2.276	110.342
53.750	31.284	0.200	0.200	0.200	2.239	109.555
53.875	30.318	0.200	0.200	0.200	2.190	108.588
54.000	29.868	0.200	0.200	0.200	2.170	107.488
54.125	29.546	0.200	0.200	0.200	2.207	106.282
54.250	30.516	0.200	0.200	0.200	2.290	104.996
54.375	32.635	0.200	0.200	0.200	2.375	103.669
54.500	31.671	0.200	0.200	0.200	2.402	102.342
54.625	31.671	0.200	0.200	0.200	2.369	101.091
54.750	28.059	0.200	0.200	0.200	2.332	99.958
54.875	28.394	0.200	0.200	0.200	2.302	98.978
55.000	31.417	0.200	0.200	0.200	2.275	98.176
55.125	33.346	0.200	0.200	0.200	2.248	97.565
55.250	33.985	0.200	0.200	0.200	2.228	97.151
55.375	32.054	0.200	0.200	0.200	2.230	96.956
55.500	29.090	0.200	0.200	0.200	2.242	96.900
55.625	29.552	0.200	0.200	0.200	2.261	96.941
55.750	31.543	0.200	0.200	0.200	2.282	97.035
55.875	31.992	0.200	0.200	0.200	2.302	97.136
56.000	31.669	0.200	0.200	0.200	2.316	97.194
56.125	30.703	0.200	0.200	0.200	2.331	97.118
56.250	30.512	0.200	0.200	0.200	2.349	96.873
56.375	32.450	0.200	0.200	0.200	2.367	96.410
56.500	34.989	0.200	0.200	0.200	2.385	95.687
56.625	35.559	0.200	0.200	0.200	2.400	94.659
56.750	32.343	0.200	0.200	0.200	2.416	93.284
56.875	30.411	0.200	0.200	0.200	2.432	91.415
57.000	30.094	0.200	0.200	0.200	2.438	89.105
57.125	31.483	0.200	0.200	0.200	2.436	86.325
57.250	33.218	0.200	0.200	0.201	2.434	83.054
57.375	34.184	0.200	0.200	0.209	2.443	79.272
57.500	35.154	0.200	0.200	0.242	2.473	74.964
57.625	38.051	0.200	0.200	0.287	2.509	69.995
57.750	41.206	0.200	0.200	0.309	2.527	64.510
57.875	44.619	0.200	0.200	0.334	2.525	58.544
58.000	47.900	0.200	0.200	0.361	2.512	52.146
58.125	50.732	0.200	0.200	0.374	2.495	45.388
58.250	53.303	0.200	0.200	0.338	2.486	38.359
58.375	54.591	0.212	0.375	0.380	2.462	31.186
58.500	54.845	0.406	0.704	1.428	2.417	24.082
58.625	55.427	0.852	1.181	3.680	2.369	17.191
58.750	56.392	1.687	1.756	5.305	2.320	10.649
58.875	58.925	2.782	2.342	5.078	2.277	4.580
59.000	67.606	3.417	2.819	4.916	2.269	-0.913
59.125	73.078	3.327	3.151	5.419	2.274	-5.582
59.250	74.673	3.568	3.749	6.420	2.257	-9.561
59.375	68.524	4.167	4.523	11.194	2.218	-12.869
59.500	58.259	4.942	5.219	24.396	2.173	-15.546
59.625	49.846	5.674	5.645	38.132	2.145	-17.641
59.750	46.642	6.275	5.894	18.989	2.148	-19.214
59.875	48.252	5.597	5.644	10.755	2.176	-20.244
60.000	51.994	5.288	5.474	9.568	2.194	-20.910
60.125	53.298	5.231	5.411	10.049	2.195	-21.263
60.250	52.524	5.383	5.477	10.272	2.186	-21.344
60.375	51.166	5.695	5.651	10.143	2.183	-21.190
60.500	48.278	6.034	5.835	9.904	2.198	-20.836
60.625	47.956	5.848	5.637	9.885	2.218	-20.278
60.750	47.117	5.661	5.437	8.838	2.231	-19.590
60.875	46.734	5.497	5.230	7.194	2.239	-18.799
61.000	47.351	5.418	5.108	6.615	2.245	-17.929
61.125	48.569	5.443	5.122	7.994	2.248	-17.006
61.250	48.584	5.465	5.136	9.550	2.240	-16.052
61.375	52.768	5.386	5.072	9.937	2.221	-15.095
61.500	58.052	5.305	4.976	8.651	2.224	-14.160
61.625	67.830	5.088	4.763	6.788	2.252	-13.265
61.750	78.044	4.739	4.447	5.458	2.291	-12.425
61.875	83.820	4.361	4.115	5.111	2.316	-11.654
62.000	85.727	4.117	3.892	4.910	2.315	-10.963
62.125	81.543	4.011	3.796	4.648	2.313	-10.385
62.250	76.841	3.966	3.737	4.512	2.327	-9.903
62.375	75.706	3.956	3.684	4.478	2.352	-9.516
62.500	78.164	3.947	3.604	4.494	2.376	-9.218
62.625	82.349	3.897	3.475	4.514	2.391	-9.004
62.750	86.524	3.761	3.287	4.528	2.393	-8.865
62.875	88.455	3.579	3.078	4.411	2.383	-8.803
63.000	86.245	3.477	2.982	4.391	2.375	-8.791
63.125	85.165	3.575	3.129	4.535	2.372	-8.816
63.250	83.861	4.008	3.695	5.132	2.383	-8.872
63.375	79.535	4.982	4.834	6.491	2.413	-8.950
63.500	72.780	6.811	6.623	8.797	2.461	-9.043
63.625	66.986	10.800	9.616	19.805	2.526	-9.143
63.750	59.509	15.487	12.967	32.213	2.584	-9.242
63.875	56.584	16.047	13.644	30.388	2.609	-9.334
64.000	56.646	12.537	11.489	19.367	2.584	-9.415
64.125	58.365	7.797	8.068	10.289	2.512	-9.481
64.250	68.000	5.480	5.601	6.815	2.420	-9.527
64.375	73.150	4.858	4.790	5.456	2.369	-9.547
64.500	77.523	4.992	4.961	5.640	2.363	-9.544
64.625	75.674	5.994	5.969	9.118	2.382	-9.517
64.750	69.750	7.883	7.586	13.498	2.381	-9.466
64.875	62.844	10.260	9.372	14.908	2.334	-9.391
65.000	52.892	12.002	10.560	10.541	2.277	-9.292
65.125	48.386	10.542	9.845	9.561	2.251	-9.166
65.250	44.916	9.088	8.624	8.660	2.275	-9.019
65.375	44.423	8.335	7.957	7.881	2.343	-8.854
65.500	46.101	8.568	8.297	9.511	2.442	-8.673
65.625	48.948	9.894	9.771	16.500	2.553	-8.482
65.750	54.084	12.466	12.444	30.898	2.656	-8.284
65.875	56.337	17.849	17.137	40.381	2.725	-8.084
66.000	54.703	26.756	24.090	41.698	2.769	-7.890
66.125	52.517	37.389	32.415	38.363	2.792	-7.705
66.250	51.238	45.415	38.661	36.961	2.798	-7.531
66.375	50.916	46.971	39.622	41.007	2.786	-7.370
66.500	50.581	41.503	34.987	45.176	2.737	-7.223
66.625	47.684	32.099	27.772	39.839	2.638	-7.091
66.750	47.379	24.613	21.729	27.271	2.523	-6.969
66.875	46.727	19.367	17.146	17.253	2.412	-6.854
67.000	46.744	16.207	14.135	12.766	2.327	-6.743
67.125	47.088	14.641	12.542	12.357	2.283	-6.632
67.250	41.329	13.989	11.853	12.242	2.273	-6.518
67.375	41.650	13.791	11.681	11.698	2.273	-6.394
67.500	40.741	13.570	11.567	11.641	2.268	-6.258
67.625	41.824	13.279	11.426	11.557	2.258	-6.106
67.750	44.399	12.956	11.258	11.525	2.246	-5.938
67.875	46.494	12.666	11.098	11.649	2.237	-5.751
68.000	46.736	12.452	10.971	11.552	2.233	-5.547
68.125	47.058	12.355	10.907	11.121	2.232	-5.322
68.250	44.656	12.427	10.942	11.146	2.229	-5.083
