#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP
21.625	21.625	-0.018	0.088	58.786	140.817	10.937	10.294	2.328	-5.453
21.750	21.750	-0.019	0.089	56.960	163.806	13.153	16.831	2.448	-6.183
21.875	21.875	-0.019	0.089	54.623	176.228	14.800	25.390	2.509	-6.800
22.000	22.000	-0.019	0.090	55.169	169.996	14.886	24.512	2.492	-7.457
22.125	22.125	-0.019	0.090	57.813	146.331	13.220	15.559	2.410	-8.041
22.250	22.250	-0.019	0.091	59.018	120.289	11.136	10.477	2.310	-8.617
22.375	22.375	-0.019	0.091	59.307	100.236	9.402	8.803	2.222	-9.265
22.500	22.500	-0.019	0.092	60.618	87.815	8.284	8.317	2.162	-9.935
22.625	22.625	-0.019	0.092	60.780	81.106	7.809	7.972	2.133	-10.608
22.750	22.750	-0.019	0.093	57.772	76.674	7.694	7.975	2.122	-11.276
22.875	22.875	-0.020	0.093	55.397	73.779	7.777	8.134	2.118	-11.858
23.000	23.000	-0.020	0.094	56.173	72.438	7.932	8.045	2.116	-12.291
23.125	23.125	-0.020	0.094	58.768	72.569	8.072	7.812	2.115	-12.640
23.250	23.250	-0.020	0.095	59.551	73.378	8.166	7.930	2.116	-12.897
23.375	23.375	-0.020	0.095	58.153	74.866	8.210	8.214	2.117	-13.075
23.500	23.500	-0.020	0.096	56.459	77.622	8.213	8.286	2.118	-13.249
23.625	23.625	-0.020	0.096	57.157	82.221	8.178	8.152	2.115	-13.374
23.750	23.750	-0.020	0.097	59.534	87.360	8.120	7.982	2.113	-13.398
23.875	23.875	-0.020	0.097	61.638	91.154	8.051	7.859	2.113	-13.357
24.000	24.000	-0.020	0.098	63.666	91.928	7.997	7.715	2.119	-13.266
24.125	24.125	-0.021	0.099	66.793	88.979	8.001	7.757	2.130	-13.069
24.250	24.250	-0.021	0.099	66.826	84.551	8.078	8.067	2.143	-12.897
24.375	24.375	-0.021	0.100	61.939	80.426	8.216	8.533	2.156	-12.739
24.500	24.500	-0.021	0.100	55.185	77.168	8.356	8.860	2.164	-12.502
