#Depth	DEN	GR	RT	RI	RXO	SP
56.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	0.000
56.125	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	0.000
56.250	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	0.000
56.375	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	30.032
56.500	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	60.353
56.625	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	60.724
56.750	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	60.942
56.875	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	61.081
57.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	61.096
57.125	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	61.023
57.250	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	60.928
57.375	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	60.751
57.500	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	60.506
57.625	-9999.000	15.285	1.021	0.099	0.176	60.321
57.750	-9999.000	15.285	1.021	0.099	0.176	60.225
57.875	-9999.000	59.605	4.081	0.392	0.710	60.177
58.000	-9999.000	57.238	4.048	0.386	0.727	60.249
58.125	0.000	58.046	3.954	0.374	0.745	60.351
58.250	0.000	60.792	3.758	0.359	0.758	60.374
58.375	1.088	61.974	3.465	0.346	0.757	60.400
58.500	2.176	60.207	3.086	0.335	0.748	60.536
58.625	2.176	57.170	2.662	0.327	0.739	60.724
58.750	2.181	54.732	2.272	0.320	0.738	61.030
58.875	2.192	52.406	1.943	0.312	0.744	61.426
59.000	2.199	49.769	1.660	0.306	0.757	61.734
59.125	2.190	48.486	1.409	0.307	0.767	61.926
59.250	2.163	50.528	1.222	0.318	0.770	62.016
59.375	2.135	53.894	1.125	0.335	0.765	61.960
59.500	2.113	56.574	1.099	0.349	0.756	61.674
59.625	2.096	57.846	1.091	0.354	0.748	61.297
59.750	2.086	57.494	1.032	0.344	0.747	60.794
59.875	2.092	57.234	0.917	0.323	0.752	60.116
60.000	2.122	56.720	0.793	0.299	0.755	59.320
60.125	2.174	54.452	0.723	0.279	0.761	58.526
60.250	2.243	50.726	0.733	0.267	0.773	57.760
60.375	2.309	49.485	0.759	0.256	0.792	56.955
60.500	2.361	51.853	0.737	0.241	0.812	56.177
60.625	2.404	55.857	0.621	0.217	0.829	55.322
60.750	2.467	60.386	0.394	0.184	0.842	54.101
60.875	2.559	64.561	0.166	0.152	0.854	52.392
61.000	2.661	65.902	0.033	0.130	0.892	50.043
61.125	2.701	64.193	0.017	0.127	1.012	46.820
61.250	2.591	64.095	0.127	0.166	1.395	42.634
61.375	2.425	69.515	0.371	0.273	2.128	37.970
61.500	2.294	79.294	0.797	0.497	3.198	32.925
61.625	2.240	90.240	1.441	0.890	4.475	27.582
61.750	2.257	98.486	2.296	1.516	5.500	22.275
61.875	2.287	103.547	3.190	2.314	5.906	17.300
62.000	2.312	107.143	3.943	3.202	5.973	12.811
62.125	2.331	111.113	4.426	4.081	6.047	8.997
62.250	2.351	113.887	4.713	4.902	6.601	6.020
62.375	2.366	113.764	5.083	5.708	7.853	3.494
62.500	2.359	111.270	5.617	6.512	9.822	1.184
62.625	2.317	108.213	6.236	7.254	12.216	-0.964
62.750	2.257	105.873	6.753	7.784	13.793	-2.982
62.875	2.217	103.030	7.018	8.042	13.415	-5.011
63.000	2.205	99.439	6.993	8.041	11.485	-6.958
63.125	2.209	96.888	6.801	7.881	9.607	-8.752
63.250	2.215	96.733	6.656	7.703	8.746	-10.538
63.375	2.215	97.339	6.662	7.614	8.442	-12.399
63.500	2.202	96.641	6.804	7.637	8.444	-14.238
63.625	2.181	92.884	7.026	7.741	8.650	-16.016
63.750	2.164	86.686	7.259	7.867	9.225	-17.833
63.875	2.162	80.897	7.466	7.972	9.752	-19.534
64.000	2.170	75.971	7.678	8.085	9.960	-21.130
64.125	2.177	71.556	8.015	8.330	9.972	-22.790
64.250	2.191	69.617	8.771	9.010	10.090	-24.448
64.375	2.236	70.536	10.119	10.308	10.850	-25.882
64.500	2.327	71.282	12.095	12.266	13.845	-27.151
64.625	2.438	69.615	14.411	14.622	19.947	-28.296
64.750	2.460	67.084	16.293	16.649	27.380	-29.233
64.875	2.358	65.904	16.938	17.562	34.224	-30.112
65.000	2.220	65.895	15.903	16.915	35.066	-30.981
65.125	2.129	66.184	13.629	14.960	23.723	-31.677
65.250	2.102	66.006	11.344	12.621	14.276	-32.126
65.375	2.098	65.214	9.752	10.732	11.331	-32.507
65.500	2.094	64.035	8.856	9.479	10.425	-32.742
65.625	2.087	63.718	8.470	8.794	10.131	-32.794
65.750	2.081	65.766	8.409	8.554	10.127	-32.764
65.875	2.081	67.628	8.451	8.510	10.344	-32.706
66.000	2.082	67.151	8.508	8.544	10.490	-32.547
66.125	2.082	65.565	8.543	8.588	10.525	-32.349
66.250	2.078	65.624	8.546	8.603	10.626	-32.265
66.375	2.068	66.603	8.525	8.580	10.757	-32.205
66.500	2.055	66.928	8.486	8.520	10.851	-32.159
