#Depth	AC	GR	R025	R2M	RA2	RI	RT	RXO	SP
29.875	0.000	0.000	17.230	34.058	0.000	0.000	0.000	0.000	0.000
30.000	0.000	0.000	16.934	32.878	0.000	0.000	0.000	0.000	0.000
30.125	0.000	0.000	16.636	31.697	0.000	0.000	0.000	0.000	0.000
30.250	0.000	0.000	16.098	30.516	0.000	0.000	0.000	0.000	0.000
30.375	0.000	0.000	15.990	31.241	0.000	0.000	0.000	0.000	0.000
30.500	0.000	0.000	16.203	33.186	0.000	0.000	0.000	0.000	0.000
30.625	0.000	0.000	16.472	35.131	0.000	0.000	0.000	0.000	0.000
30.750	0.000	0.000	16.773	37.076	0.000	0.000	0.000	0.000	0.000
30.875	0.000	0.000	16.931	39.021	0.000	0.000	0.000	0.000	0.000
31.000	0.000	0.000	16.027	37.993	0.000	0.000	0.000	0.000	0.000
31.125	0.000	0.000	15.057	36.029	0.000	0.000	0.000	0.000	0.000
31.250	0.000	0.000	14.248	34.065	0.000	0.000	0.000	0.000	0.000
31.375	0.000	0.000	13.367	32.101	0.000	0.000	0.000	0.000	0.000
31.500	0.000	0.000	12.959	30.137	0.000	0.000	0.000	0.000	0.000
31.625	0.000	0.000	12.749	28.173	0.000	0.000	0.000	0.000	0.000
31.750	0.000	0.000	12.539	28.030	0.000	0.000	0.000	0.000	0.000
31.875	0.000	0.000	12.364	28.031	0.000	0.000	0.000	0.000	0.000
32.000	0.000	0.000	12.183	28.033	0.000	0.000	0.000	0.000	0.000
32.125	0.000	0.000	11.993	25.011	0.000	0.000	0.000	0.000	0.000
32.250	0.000	0.000	11.783	24.545	0.000	0.000	0.000	0.000	0.000
32.375	0.000	0.000	11.538	24.184	0.000	0.000	0.000	0.000	0.000
32.500	0.000	0.000	11.359	23.204	0.000	0.000	0.000	0.000	0.000
32.625	0.000	0.000	11.761	23.713	0.000	0.000	0.000	0.000	0.000
32.750	0.000	0.000	12.227	24.222	0.000	0.000	0.000	0.000	0.000
32.875	0.000	0.000	12.639	24.731	0.000	0.000	0.000	0.000	0.000
33.000	0.000	0.000	13.065	25.240	0.000	0.000	0.000	0.000	0.000
33.125	0.000	0.000	13.449	25.749	0.000	0.000	0.000	0.000	0.000
33.250	0.000	0.000	13.824	26.258	0.000	0.000	0.000	0.000	0.000
33.375	0.000	0.000	14.350	26.767	0.000	0.000	0.000	0.000	0.000
33.500	0.000	0.000	14.778	27.276	0.000	0.000	0.000	0.000	0.000
33.625	0.000	0.000	15.265	27.785	0.000	0.000	0.000	0.000	0.000
