#Depth	TVD	DX	DY	DEN	GR	RT	RI	RXO	SP
28.625	28.624	-0.171	-0.155	2.123	62.900	104.996	6.831	7.204	-26.165
28.750	28.749	-0.172	-0.155	2.130	61.926	104.836	6.971	7.298	-26.203
28.875	28.874	-0.173	-0.156	2.126	60.205	105.693	7.153	7.480	-26.165
29.000	28.999	-0.174	-0.157	2.097	59.917	106.730	7.327	7.605	-26.096
29.125	29.124	-0.174	-0.157	2.040	62.332	106.132	7.378	7.525	-26.046
29.250	29.249	-0.175	-0.158	1.984	65.275	102.774	7.225	7.375	-25.921
29.375	29.374	-0.176	-0.159	1.959	70.230	96.464	6.845	7.165	-25.562
29.500	29.499	-0.176	-0.159	1.984	80.450	88.189	6.291	6.577	-24.893
29.625	29.624	-0.177	-0.160	2.061	95.252	80.038	5.682	5.764	-23.942
29.750	29.749	-0.178	-0.161	2.156	104.456	73.981	5.160	5.055	-22.818
29.875	29.874	-0.179	-0.161	2.244	105.363	70.954	4.794	4.664	-21.613
30.000	29.999	-0.179	-0.162	2.307	102.928	70.949	4.604	4.485	-20.401
30.125	30.123	-0.187	-0.167	2.331	102.793	73.220	4.584	4.451	-19.223
30.250	30.248	-0.195	-0.172	2.325	103.272	75.759	4.645	4.527	-18.123
30.375	30.373	-0.203	-0.176	2.304	102.695	77.132	4.713	4.622	-17.263
30.500	30.497	-0.211	-0.181	2.283	104.677	76.495	4.723	4.653	-16.635
30.625	30.622	-0.219	-0.186	2.277	110.356	73.722	4.632	4.608	-16.158
30.750	30.746	-0.227	-0.191	2.287	112.127	70.313	4.486	4.611	-15.870
30.875	30.871	-0.235	-0.196	2.310	109.173	67.704	4.362	4.684	-15.753
31.000	30.996	-0.242	-0.200	2.341	105.564	67.123	4.346	4.811	-15.731
31.125	31.120	-0.250	-0.205	2.367	103.911	69.681	4.535	4.912	-15.802
31.250	31.245	-0.258	-0.210	2.370	99.618	74.633	4.904	5.474	-15.973
31.375	31.369	-0.266	-0.215	2.340	91.294	80.895	5.395	6.940	-16.181
31.500	31.494	-0.274	-0.219	2.281	82.671	87.020	5.911	9.028	-16.393
31.625	31.618	-0.282	-0.224	2.232	77.252	91.723	6.358	7.753	-16.746
31.750	31.743	-0.290	-0.229	2.228	75.562	95.378	6.736	6.888	-17.201
31.875	31.868	-0.297	-0.234	2.271	74.698	98.836	7.082	6.916	-17.641
32.000	31.992	-0.305	-0.238	2.328	72.880	102.561	7.433	9.004	-17.988
32.125	32.117	-0.313	-0.243	2.350	71.239	105.683	7.791	14.474	-18.239
32.250	32.241	-0.321	-0.248	2.332	69.363	106.662	8.116	17.667	-18.450
32.375	32.366	-0.329	-0.253	2.300	68.297	104.494	8.385	13.488	-18.668
32.500	32.490	-0.337	-0.257	2.286	69.973	99.301	8.615	10.242	-18.906
32.625	32.615	-0.345	-0.262	2.298	73.641	92.034	8.835	10.677	-19.027
32.750	32.740	-0.353	-0.267	2.305	74.374	84.126	9.038	12.227	-19.105
32.875	32.864	-0.360	-0.272	2.283	70.827	75.735	9.160	12.337	-19.242
33.000	32.989	-0.368	-0.277	2.234	67.333	66.624	9.118	11.920	-19.476
33.125	33.113	-0.376	-0.281	2.178	68.393	57.189	8.832	9.963	-19.734
33.250	33.238	-0.384	-0.286	2.136	71.714	48.950	8.413	8.619	-19.924
33.375	33.363	-0.392	-0.291	2.110	74.877	43.254	7.989	7.894	-20.061
33.500	33.487	-0.400	-0.296	2.095	77.633	40.687	7.661	7.641	-20.259
33.625	33.612	-0.408	-0.300	2.086	79.410	41.257	7.499	7.651	-20.481
33.750	33.736	-0.415	-0.305	2.086	78.368	43.369	7.461	7.663	-20.604
33.875	33.861	-0.423	-0.310	2.096	75.849	45.858	7.488	7.678	-20.663
34.000	33.985	-0.431	-0.315	2.110	75.750	47.789	7.514	7.557	-20.686
34.125	34.110	-0.439	-0.319	2.117	77.267	48.407	7.481	7.309	-20.657
34.250	34.235	-0.447	-0.324	2.114	76.459	47.818	7.380	7.171	-20.586
34.375	34.359	-0.455	-0.329	2.105	75.847	46.327	7.231	7.096	-20.504
34.500	34.484	-0.463	-0.334	2.100	78.758	44.515	7.076	6.965	-20.358
34.625	34.608	-0.471	-0.338	2.110	82.686	43.189	6.978	6.896	-20.116
34.750	34.733	-0.478	-0.343	2.129	83.220	42.720	6.966	6.819	-19.828
34.875	34.857	-0.486	-0.348	2.149	81.730	43.022	7.047	6.889	-19.550
35.000	34.982	-0.494	-0.353	2.163	79.278	43.539	7.191	7.177	-19.305
35.125	35.107	-0.502	-0.357	2.166	74.969	43.144	7.325	7.714	-19.141
35.250	35.231	-0.510	-0.362	2.160	69.640	41.144	7.394	8.115	-19.109
35.375	35.356	-0.518	-0.367	2.147	68.448	37.480	7.403	8.021	-19.152
35.500	35.480	-0.526	-0.372	2.133	73.823	32.806	7.408	7.688	-19.248
35.625	35.605	-0.533	-0.377	2.128	79.738	28.341	7.514	7.251	-19.556
35.750	35.730	-0.541	-0.381	2.135	79.569	25.014	7.779	7.615	-20.063
35.875	35.854	-0.549	-0.386	2.150	74.068	23.074	8.207	8.988	-20.586
36.000	35.979	-0.557	-0.391	2.162	68.851	22.222	8.721	10.527	-20.978
36.125	36.103	-0.565	-0.396	2.156	65.174	21.752	9.117	10.524	-21.177
36.250	36.228	-0.573	-0.400	2.132	62.217	20.847	9.195	9.950	-21.262
36.375	36.352	-0.581	-0.405	2.102	61.245	19.156	8.839	9.437	-21.284
36.500	36.477	-0.588	-0.410	2.084	63.783	16.739	8.069	9.068	-21.155
36.625	36.602	-0.596	-0.415	2.098	69.872	13.998	7.046	8.116	-20.764
36.750	36.726	-0.604	-0.419	2.142	75.555	11.516	6.086	6.458	-20.180
36.875	36.851	-0.612	-0.424	2.207	80.423	9.616	5.383	5.048	-19.490
37.000	36.975	-0.620	-0.429	2.272	84.839	8.451	5.047	4.467	-18.792
37.125	37.100	-0.628	-0.434	2.307	86.285	8.164	5.192	5.742	-18.196
37.250	37.224	-0.636	-0.438	2.301	81.510	8.538	5.727	9.840	-17.689
37.375	37.349	-0.644	-0.443	2.257	72.012	9.366	6.541	14.597	-17.230
37.500	37.474	-0.651	-0.448	2.193	64.813	10.316	7.418	12.692	-16.870
37.625	37.598	-0.659	-0.453	2.137	63.641	10.924	8.029	10.311	-16.692
37.750	37.723	-0.667	-0.458	2.114	64.437	11.015	8.263	9.261	-16.678
37.875	37.847	-0.675	-0.462	2.126	65.600	10.679	8.205	8.901	-16.861
38.000	37.972	-0.683	-0.467	2.158	68.293	10.175	8.037	8.803	-17.247
38.125	38.097	-0.691	-0.472	2.176	70.880	9.767	7.914	10.219	-17.758
38.250	38.221	-0.699	-0.477	2.161	70.305	9.509	7.847	12.414	-18.272
38.375	38.346	-0.706	-0.481	2.112	67.847	9.346	7.798	11.456	-18.765
38.500	38.470	-0.714	-0.486	2.046	66.845	9.224	7.743	9.082	-19.233
38.625	38.595	-0.722	-0.491	1.988	68.656	9.133	7.682	8.075	-19.652
38.750	38.719	-0.730	-0.496	1.951	70.010	9.083	7.628	8.112	-19.995
38.875	38.844	-0.738	-0.500	1.939	69.184	9.066	7.589	8.227	-20.194
39.000	38.969	-0.746	-0.505	1.950	66.927	9.041	7.569	8.163	-20.259
39.125	39.093	-0.754	-0.510	1.986	67.123	8.953	7.560	8.032	-20.248
39.250	39.218	-0.762	-0.515	2.035	69.967	8.801	7.544	8.006	-20.209
39.375	39.342	-0.769	-0.519	2.080	72.684	8.621	7.513	8.182	-20.111
39.500	39.467	-0.777	-0.524	2.107	74.290	8.455	7.466	8.254	-20.002
39.625	39.591	-0.785	-0.529	2.102	75.756	8.338	7.411	8.190	-19.878
39.750	39.716	-0.793	-0.534	2.074	76.340	8.272	7.370	8.039	-19.760
39.875	39.841	-0.801	-0.538	2.040	74.927	8.259	7.360	7.929	-19.659
40.000	39.965	-0.809	-0.543	2.021	73.541	8.303	7.386	7.842	-19.540
40.125	40.090	-0.817	-0.548	2.032	74.555	8.403	7.448	7.946	-19.351
40.250	40.214	-0.824	-0.553	2.063	74.927	8.520	7.534	8.251	-19.137
40.375	40.339	-0.832	-0.558	2.096	72.306	8.618	7.634	8.562	-18.999
40.500	40.463	-0.840	-0.562	2.115	69.142	8.687	7.746	8.682	-18.927
40.625	40.588	-0.848	-0.567	2.109	69.812	8.764	7.880	8.723	-18.894
40.750	40.713	-0.856	-0.572	2.088	72.140	8.898	8.040	8.717	-18.878
40.875	40.837	-0.864	-0.577	2.064	72.400	9.075	8.201	8.668	-18.904
41.000	40.962	-0.872	-0.581	2.052	70.930	9.206	8.292	8.591	-18.977
41.125	41.086	-0.880	-0.586	2.064	70.185	9.112	8.184	8.457	-19.095
41.250	41.211	-0.887	-0.591	2.098	70.793	8.738	7.844	8.304	-19.198
41.375	41.336	-0.895	-0.596	2.149	73.689	8.125	7.300	7.681	-19.205
41.500	41.460	-0.903	-0.600	2.201	79.679	7.412	6.656	6.334	-19.070
41.625	41.585	-0.911	-0.605	2.235	85.787	6.806	6.078	5.804	-18.794
41.750	41.709	-0.919	-0.610	2.242	88.620	6.425	5.670	5.800	-18.408
41.875	41.834	-0.927	-0.615	2.220	89.353	6.295	5.468	5.884	-17.915
42.000	41.958	-0.935	-0.619	2.180	89.562	6.370	5.457	6.139	-17.383
42.125	42.083	-0.942	-0.624	2.139	87.677	6.570	5.599	6.827	-16.852
42.250	42.208	-0.950	-0.629	2.112	82.530	6.809	5.798	7.439	-16.372
42.375	42.332	-0.958	-0.634	2.106	77.569	7.112	6.039	7.172	-16.019
42.500	42.457	-0.966	-0.639	2.123	76.490	7.611	6.394	6.836	-15.838
42.625	42.581	-0.974	-0.643	2.170	77.511	8.643	7.106	7.566	-15.845
42.750	42.706	-0.982	-0.648	2.238	77.080	10.440	8.381	9.503	-15.927
42.875	42.830	-0.990	-0.653	2.321	75.424	13.222	10.461	14.265	-16.030
43.000	42.955	-0.997	-0.658	2.406	74.692	16.991	13.505	26.158	-16.123
43.125	43.080	-1.005	-0.662	2.481	75.543	21.197	17.360	41.874	-16.189
43.250	43.204	-1.013	-0.667	2.536	75.284	24.476	20.785	48.299	-16.215
43.375	43.329	-1.021	-0.672	2.561	72.438	25.652	22.354	44.634	-16.173
43.500	43.453	-1.029	-0.677	2.543	69.869	24.327	21.408	37.728	-16.059
43.625	43.578	-1.037	-0.681	2.471	70.721	21.076	18.578	28.160	-15.929
43.750	43.703	-1.045	-0.686	2.368	73.195	17.590	15.554	18.831	-15.842
43.875	43.827	-1.053	-0.691	2.263	74.110	14.774	13.090	13.546	-15.824
44.000	43.952	-1.060	-0.696	2.183	73.003	12.971	11.420	11.486	-15.852
44.125	44.076	-1.068	-0.700	2.141	71.112	12.249	10.587	10.822	-15.970
44.250	44.201	-1.076	-0.705	2.124	69.811	12.166	10.288	10.531	-16.140
44.375	44.325	-1.084	-0.710	2.121	70.087	12.424	10.347	10.622	-16.349
44.500	44.450	-1.092	-0.715	2.123	71.136	12.753	10.583	10.944	-16.585
44.625	44.575	-1.100	-0.720	2.125	70.269	12.914	10.814	11.337	-16.803
44.750	44.699	-1.108	-0.724	2.123	68.161	12.854	10.926	11.509	-16.977
44.875	44.824	-1.115	-0.729	2.119	67.290	12.626	10.895	11.226	-17.093
45.000	44.948	-1.123	-0.734	2.113	68.097	12.343	10.750	10.652	-17.169
