#Depth	GR	RT	RI	RXO	DEN	SP
83.625	55.860	7.326	7.450	6.112	2.262	-4.989
83.750	48.435	8.762	8.830	6.855	2.227	-4.937
83.875	45.942	10.950	10.690	9.943	2.198	-4.873
84.000	50.726	13.270	12.606	10.191	2.186	-4.805
84.125	53.552	15.766	14.587	9.718	2.193	-4.737
84.250	57.193	17.319	15.784	10.142	2.224	-4.674
84.375	63.618	16.689	15.258	13.408	2.277	-4.620
84.500	63.704	13.430	12.691	22.162	2.338	-4.578
84.625	71.516	10.413	9.946	18.602	2.376	-4.554
84.750	72.857	8.322	7.901	9.314	2.372	-4.546
84.875	74.316	7.075	6.577	5.507	2.337	-4.555
85.000	74.827	6.483	5.860	5.780	2.298	-4.579
85.125	72.465	6.298	5.556	5.635	2.277	-4.618
85.250	70.006	6.276	5.447	5.297	2.271	-4.671
85.375	70.504	6.225	5.417	4.907	2.269	-4.736
85.500	71.407	5.961	5.251	4.428	2.260	-4.808
85.625	74.538	5.883	5.240	4.538	2.255	-4.882
85.750	77.590	6.073	5.445	4.794	2.264	-4.953
85.875	77.814	6.446	5.789	4.992	2.292	-5.016
86.000	75.156	6.875	6.140	6.255	2.334	-5.067
86.125	72.663	7.382	6.636	7.526	2.369	-5.098
86.250	68.147	7.700	6.951	6.504	2.390	-5.109
86.375	66.008	7.874	7.081	7.515	2.398	-5.102
86.500	64.991	7.807	6.957	9.489	2.401	-5.080
86.625	65.108	7.436	6.571	9.421	2.403	-5.047
86.750	73.038	6.867	6.087	5.337	2.393	-5.007
86.875	77.027	6.516	5.814	4.728	2.366	-4.967
87.000	83.444	6.311	5.661	4.803	2.328	-4.935
87.125	81.476	6.364	5.721	5.062	2.298	-4.913
87.250	77.528	6.699	5.999	5.280	2.283	-4.903
87.375	79.210	7.199	6.400	5.433	2.279	-4.907
87.500	82.257	7.577	6.728	5.658	2.286	-4.925
87.625	89.902	7.646	6.836	5.761	2.286	-4.957
87.750	91.339	7.547	6.804	5.462	2.292	-4.998
87.875	89.203	7.477	6.786	5.432	2.302	-5.047
88.000	84.959	7.536	6.861	5.603	2.310	-5.100
88.125	79.852	7.736	7.034	5.945	2.308	-5.156
88.250	75.541	8.010	7.238	7.068	2.286	-5.210
88.375	72.051	8.398	7.556	7.380	2.248	-5.258
88.500	72.881	8.819	7.911	6.796	2.215	-5.297
88.625	74.811	9.160	8.177	6.819	2.205	-5.322
88.750	76.805	9.245	8.220	7.490	2.221	-5.332
88.875	79.117	8.970	7.972	7.957	2.254	-5.324
89.000	82.572	8.412	7.497	6.964	2.290	-5.298
89.125	83.237	7.699	6.966	5.613	2.304	-5.252
89.250	80.931	7.185	6.563	5.278	2.301	-5.195
89.375	77.023	7.081	6.546	5.297	2.292	-5.130
89.500	72.056	7.596	7.146	5.681	2.277	-5.065
89.625	66.334	8.913	8.501	6.786	2.256	-5.003
89.750	60.389	11.174	10.601	9.048	2.226	-4.949
89.875	57.398	14.522	13.427	11.295	2.194	-4.913
90.000	56.838	18.364	16.617	12.206	2.169	-4.893
90.125	58.263	22.281	19.914	12.828	2.149	-4.889
90.250	60.659	25.325	22.504	14.236	2.134	-4.901
90.375	63.470	26.234	23.302	16.473	2.125	-4.929
90.500	67.481	23.670	21.246	17.653	2.122	-4.971
90.625	73.131	18.682	17.316	15.258	2.134	-5.025
90.750	73.107	14.363	13.646	11.448	2.160	-5.087
90.875	68.925	11.117	10.663	8.556	2.197	-5.151
91.000	63.353	9.035	8.588	6.992	2.232	-5.212
91.125	60.458	7.934	7.404	6.266	2.252	-5.267
91.250	65.284	7.404	6.837	5.789	2.257	-5.309
91.375	70.602	7.154	6.612	5.614	2.246	-5.329
91.500	74.569	6.868	6.393	5.446	2.238	-5.325
91.625	75.983	6.482	6.099	5.048	2.237	-5.295
91.750	77.288	5.984	5.713	4.692	2.248	-5.240
91.875	80.588	5.427	5.267	4.584	2.271	-5.162
92.000	84.379	4.937	4.832	4.400	2.304	-5.063
92.125	85.875	4.646	4.555	3.824	2.327	-4.946
92.250	85.748	4.652	4.583	3.667	2.340	-4.823
92.375	83.414	4.915	4.865	3.928	2.345	-4.700
92.500	78.068	5.426	5.371	4.528	2.346	-4.582
92.625	71.227	6.184	6.077	5.355	2.341	-4.473
92.750	68.595	7.184	6.962	6.285	2.326	-4.379
92.875	67.930	8.184	7.764	6.445	2.291	-4.306
93.000	68.618	8.904	8.296	6.578	2.252	-4.254
93.125	68.799	9.210	8.506	6.983	2.227	-4.223
93.250	67.228	9.342	8.610	7.279	2.216	-4.215
93.375	64.971	9.619	8.867	7.149	2.216	-4.227
93.500	66.596	10.211	9.386	6.953	2.216	-4.258
93.625	65.599	11.468	10.367	8.438	2.201	-4.308
93.750	64.601	12.825	11.282	8.999	2.183	-4.366
93.875	65.339	13.167	11.490	8.437	2.177	-4.426
94.000	68.475	12.308	10.830	7.573	2.187	-4.482
94.125	74.315	10.674	9.519	6.938	2.210	-4.528
94.250	83.169	9.051	8.067	5.745	2.240	-4.558
94.375	83.668	8.144	7.232	5.649	2.255	-4.565
94.500	83.490	7.907	6.961	6.093	2.256	-4.550
94.625	79.074	8.078	7.047	6.405	2.245	-4.518
94.750	74.159	8.546	7.392	6.537	2.234	-4.473
94.875	72.343	9.135	7.868	6.548	2.231	-4.418
95.000	71.254	9.455	8.227	6.224	2.235	-4.360
95.125	75.243	9.704	8.540	6.524	2.246	-4.304
95.250	77.878	9.971	8.848	6.843	2.248	-4.255
95.375	77.243	10.198	9.118	6.972	2.243	-4.214
95.500	74.130	10.342	9.322	7.013	2.234	-4.182
95.625	70.070	10.347	9.417	7.060	2.224	-4.158
95.750	65.848	10.118	9.338	6.954	2.222	-4.140
95.875	68.341	9.488	8.906	6.986	2.237	-4.128
96.000	75.303	8.565	8.193	6.900	2.259	-4.118
96.125	81.032	7.626	7.414	6.283	2.280	-4.107
96.250	85.009	6.871	6.757	5.340	2.292	-4.095
96.375	86.999	6.414	6.351	4.686	2.295	-4.078
96.500	83.527	6.259	6.225	5.144	2.295	-4.054
96.625	81.200	6.428	6.380	6.000	2.301	-4.019
96.750	76.300	6.730	6.661	6.339	2.310	-3.969
96.875	71.020	7.006	6.941	6.206	2.309	-3.904
97.000	67.592	7.199	7.178	6.180	2.301	-3.822
97.125	67.238	7.400	7.463	6.627	2.292	-3.723
97.250	69.227	7.881	8.056	7.119	2.281	-3.609
97.375	70.889	9.020	9.336	7.777	2.267	-3.479
97.500	69.029	11.131	11.399	9.412	2.246	-3.342
97.625	63.405	14.073	14.078	11.803	2.230	-3.202
97.750	58.410	17.316	16.902	13.896	2.231	-3.062
97.875	57.272	19.896	19.078	14.828	2.256	-2.925
98.000	57.467	20.431	19.530	14.746	2.304	-2.793
98.125	59.461	18.413	17.798	12.868	2.331	-2.670
98.250	59.016	16.542	16.089	10.651	2.313	-2.554
98.375	60.167	15.435	15.056	9.596	2.266	-2.444
98.500	61.624	15.314	14.976	9.741	2.215	-2.340
98.625	60.943	16.238	15.917	11.126	2.184	-2.242
98.750	57.741	18.285	17.857	14.831	2.181	-2.148
98.875	51.758	21.477	20.713	17.949	2.187	-2.058
99.000	49.435	24.837	23.707	18.266	2.189	-1.969
99.125	48.963	27.588	26.254	17.669	2.184	-1.879
99.250	49.889	29.294	27.950	16.943	2.172	-1.783
99.375	51.668	29.927	28.691	16.441	2.158	-1.681
99.500	52.657	29.933	28.768	16.505	2.148	-1.569
99.625	53.156	29.734	28.589	16.175	2.153	-1.445
