#Depth	DEN	SP	R2M	R025	GR	RT	RI	RXO	RA2
244.250	2.177	-13.012	180.091	69.779	69.279	100.740	85.298	73.079	180.091
244.375	2.205	-13.136	174.175	72.080	70.920	103.300	88.373	73.753	174.175
244.500	2.246	-13.248	171.171	74.769	72.538	110.433	95.374	92.803	171.171
244.625	2.281	-13.359	172.087	77.321	70.824	122.116	106.023	140.848	172.087
244.750	2.289	-13.472	174.160	79.260	66.971	132.765	115.290	186.949	174.160
244.875	2.283	-13.595	174.564	80.602	65.891	137.132	118.446	192.633	174.564
245.000	2.262	-13.715	171.660	81.683	70.107	134.138	115.091	152.591	171.660
245.125	2.233	-13.784	165.977	82.809	75.776	128.786	110.581	121.289	165.977
245.250	2.202	-13.807	160.559	84.007	77.242	127.492	110.240	123.688	160.559
245.375	2.186	-13.813	157.432	85.118	74.980	131.696	114.808	137.662	157.432
245.500	2.187	-13.760	157.270	85.838	71.951	138.889	121.841	146.352	157.270
245.625	2.197	-13.680	159.564	85.875	70.446	143.494	126.186	139.691	159.564
245.750	2.209	-13.584	162.718	85.488	71.266	142.652	125.411	125.445	162.718
245.875	2.216	-13.425	166.157	84.938	73.446	137.542	121.040	114.431	166.157
246.000	2.216	-13.207	169.873	84.347	73.797	131.340	116.195	120.769	169.873
246.125	2.214	-13.002	174.257	83.609	70.278	126.667	113.001	139.887	174.257
246.250	2.216	-12.760	179.402	82.652	67.474	123.536	111.085	151.963	179.402
246.375	2.223	-12.486	185.234	81.561	68.908	121.487	109.927	134.895	185.234
246.500	2.242	-12.227	191.595	80.566	71.816	120.667	109.695	116.589	191.595
246.625	2.284	-11.912	198.924	80.039	71.609	123.194	112.282	103.380	198.924
246.750	2.350	-11.578	208.094	80.038	70.502	131.843	119.778	101.656	208.094
246.875	2.440	-11.249	220.192	80.362	70.925	149.489	133.961	121.287	220.192
247.000	2.538	-10.893	235.726	80.442	71.014	175.611	153.780	187.557	235.726
247.125	2.612	-10.522	254.685	79.179	67.939	199.624	168.563	262.523	254.685
247.250	2.639	-10.146	275.576	75.865	66.071	202.976	162.391	290.005	275.576
247.375	2.627	-9.747	297.777	70.100	66.989	176.280	132.514	285.239	297.777
247.500	2.594	-9.308	321.135	61.950	68.824	129.608	93.748	294.117	321.135
247.625	2.552	-8.846	344.686	51.076	68.713	84.808	62.376	314.993	344.686
247.750	2.511	-8.376	363.083	38.301	66.525	52.554	40.342	255.592	363.083
247.875	2.479	-7.886	366.548	25.564	63.485	32.041	25.473	105.155	366.548
248.000	2.451	-7.412	345.031	15.621	62.181	19.584	15.665	28.509	345.031
