#Depth	DEN	SP	R2M	R025	GR	RT	RI	RXO	RA2
275.750	2.339	-4.068	7.478	7.035	60.889	9.157	7.441	8.370	7.478
275.875	2.351	-4.162	7.509	7.029	60.889	8.971	7.216	7.859	7.509
276.000	2.369	-4.238	7.533	7.021	60.889	8.734	7.069	7.673	7.533
276.125	2.391	-4.291	7.561	7.020	60.889	8.277	6.919	7.445	7.561
276.250	2.408	-4.329	7.604	7.022	60.889	7.729	6.794	7.442	7.604
276.375	2.415	-4.362	7.665	7.026	60.889	7.477	6.704	7.422	7.665
276.500	2.412	-4.391	7.740	7.028	60.889	7.786	6.656	7.521	7.740
276.625	2.408	-4.413	7.815	7.029	60.889	8.010	6.659	7.751	7.815
276.750	2.408	-4.467	7.879	7.030	60.889	8.035	6.706	8.423	7.879
276.875	2.411	-4.533	7.927	7.029	60.889	8.116	6.800	9.704	7.927
277.000	2.416	-4.547	7.961	7.029	60.889	8.206	6.938	11.588	7.961
277.125	2.426	-4.528	7.986	7.029	60.889	8.293	7.150	12.211	7.986
277.250	2.438	-4.495	8.003	7.030	60.889	8.379	7.236	12.545	8.003
277.375	2.447	-4.456	8.015	7.031	60.889	8.474	7.289	12.241	8.015
277.500	2.456	-4.416	8.019	7.030	60.889	8.574	7.307	11.667	8.019
277.625	2.465	-4.280	8.015	7.029	60.889	8.682	7.263	11.275	8.015
277.750	2.469	-4.288	8.011	7.028	60.889	8.778	7.257	11.076	8.011
277.875	2.456	-4.278	8.008	7.028	60.889	8.779	7.260	11.525	8.008
278.000	2.432	-4.258	8.005	7.028	60.889	8.794	7.262	12.840	8.005
278.125	2.414	-4.229	7.997	7.028	60.889	8.794	7.262	15.189	7.997
278.250	2.409	-4.193	7.987	7.029	60.889	8.794	7.262	17.273	7.987
278.375	2.414	-4.161	7.976	7.029	60.889	8.794	7.262	17.328	7.976
278.500	2.424	-4.127	7.970	7.029	60.889	8.794	7.262	14.009	7.970
278.625	2.433	-4.089	7.970	7.031	60.889	8.794	7.262	13.019	7.970
278.750	2.435	-4.061	7.974	7.031	60.889	8.794	7.262	12.943	7.974
278.875	2.425	-4.064	7.977	7.031	60.889	8.794	7.262	12.992	7.977
279.000	2.408	-4.068	7.977	7.031	60.889	8.794	7.262	13.185	7.977
279.125	2.395	-2502.462	-2493.426	-2494.135	60.889	8.794	7.262	13.395	-2493.426
279.250	2.386	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	13.325	-9999.000
279.375	2.379	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	11.439	-9999.000
279.500	2.374	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	9.250	-9999.000
279.625	2.371	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	8.316	-9999.000
279.750	2.366	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	8.429	-9999.000
279.875	2.361	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	9.196	-9999.000
280.000	2.356	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	9.694	-9999.000
280.125	2.353	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	9.497	-9999.000
280.250	2.349	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	8.459	-9999.000
280.375	2.340	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	7.516	-9999.000
280.500	2.329	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	7.061	-9999.000
280.625	2.309	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	6.951	-9999.000
280.750	2.274	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	6.707	-9999.000
280.875	2.214	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	6.397	-9999.000
281.000	2.143	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	6.008	-9999.000
281.125	2.081	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.568	-9999.000
281.250	2.043	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.278	-9999.000
281.375	2.032	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.197	-9999.000
281.500	2.030	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.186	-9999.000
281.625	2.030	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.188	-9999.000
281.750	2.032	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.189	-9999.000
281.875	2.033	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.188	-9999.000
282.000	2.031	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.186	-9999.000
282.125	2.029	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.186	-9999.000
282.250	2.030	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.186	-9999.000
282.375	2.034	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.186	-9999.000
282.500	2.037	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.185	-9999.000
282.625	2.039	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.184	-9999.000
282.750	2.041	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.183	-9999.000
282.875	2.041	-9999.000	-9999.000	-9999.000	60.889	8.794	7.262	5.185	-9999.000
283.000	2.040	-9999.000	-9999.000	-9999.000	-4969.052	-4995.100	-4995.866	-4996.904	-9999.000
283.125	2.040	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
283.250	2.041	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
283.375	2.042	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
283.500	2.042	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
283.625	2.042	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
283.750	2.042	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
283.875	2.041	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
284.000	-4998.473	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000
