#Depth	DEN	GR	RT	RI	RXO	SP
66.625	2.258	63.579	7.208	6.097	7.338	-15.205
66.750	2.229	62.452	7.277	6.183	7.447	-16.296
66.875	2.201	61.649	7.286	6.217	7.271	-17.375
67.000	2.175	62.600	7.281	6.219	7.029	-18.380
67.125	2.149	64.218	7.290	6.207	6.869	-19.262
67.250	2.124	64.455	7.318	6.186	6.762	-19.964
67.375	2.104	62.864	7.348	6.151	6.721	-20.436
67.500	2.092	61.988	7.345	6.086	6.753	-20.619
67.625	2.090	62.170	7.285	5.986	6.802	-20.521
67.750	2.096	61.750	7.170	5.859	6.845	-20.184
67.875	2.107	60.536	7.049	5.734	6.812	-19.657
68.000	2.128	60.372	7.079	5.704	6.692	-18.967
68.125	2.162	62.389	7.438	5.879	6.643	-18.218
68.250	2.213	65.626	8.268	6.360	6.869	-17.485
68.375	2.277	66.873	9.617	7.204	7.509	-16.830
68.500	2.331	63.259	11.374	8.401	9.083	-16.362
68.625	2.354	57.135	13.117	9.711	11.777	-16.107
68.750	2.337	51.842	14.382	10.821	13.995	-16.027
68.875	2.293	47.886	14.822	11.438	12.878	-16.054
69.000	2.247	45.841	14.334	11.373	10.963	-16.161
69.125	2.217	46.072	13.455	10.916	9.980	-16.296
69.250	2.209	48.101	12.825	10.494	9.579	-16.406
69.375	2.222	49.795	12.939	10.485	9.528	-16.469
69.500	2.256	49.348	14.172	11.226	10.221	-16.441
69.625	2.302	47.250	16.364	12.702	12.048	-16.321
69.750	2.349	44.794	19.204	14.780	15.013	-16.143
69.875	2.387	43.327	22.250	17.200	19.202	-15.978
70.000	2.414	43.118	24.800	19.469	24.855	-15.865
70.125	2.437	43.250	26.301	21.070	28.548	-15.803
70.250	2.461	43.726	26.449	21.632	28.003	-15.809
70.375	2.483	44.507	25.235	21.025	27.344	-15.885
70.500	2.483	44.482	22.792	19.265	28.883	-16.037
70.625	2.448	44.088	19.680	16.819	27.235	-16.283
70.750	2.383	44.684	16.439	14.167	20.957	-16.587
70.875	2.306	46.377	13.549	11.733	13.761	-16.908
71.000	2.240	47.655	11.477	9.907	9.781	-17.210
