#Depth	DEN	GR	RT	RI	RXO	SP
60.000	2.165	40.901	1.588	0.449	1.898	58.488
60.125	2.143	42.842	1.578	0.467	1.938	56.177
60.250	2.113	48.235	1.560	0.475	1.905	53.656
60.375	2.076	54.053	1.541	0.470	1.790	50.958
60.500	2.039	56.834	1.520	0.456	1.654	48.238
60.625	2.017	55.470	1.490	0.441	1.576	45.747
60.750	2.017	52.509	1.465	0.430	1.489	43.526
60.875	2.041	48.806	1.460	0.421	1.353	41.644
61.000	2.081	44.305	1.477	0.410	1.259	40.155
61.125	2.122	40.329	1.479	0.393	1.187	39.121
61.250	2.150	38.699	1.403	0.373	1.072	38.481
61.375	2.161	39.969	1.206	0.352	0.918	38.232
61.500	2.157	42.563	0.901	0.332	0.714	38.235
61.625	2.159	44.206	0.580	0.311	0.488	38.273
61.750	2.191	44.071	0.348	0.287	0.504	38.077
61.875	2.261	45.447	0.248	0.270	0.912	37.335
62.000	2.354	52.516	0.316	0.285	1.812	35.746
62.125	2.426	63.378	0.642	0.399	3.390	33.101
62.250	2.455	74.423	1.212	0.651	4.488	29.779
62.375	2.444	85.124	1.964	1.057	5.394	26.013
62.500	2.412	95.104	2.739	1.582	5.401	21.909
62.625	2.380	100.920	3.263	2.129	4.780	17.544
62.750	2.359	100.626	3.460	2.594	4.373	13.203
62.875	2.351	97.739	3.479	2.972	4.268	9.218
63.000	2.352	95.461	3.604	3.362	4.287	5.842
63.125	2.365	94.183	4.129	3.945	4.663	3.247
63.250	2.387	90.430	5.039	4.770	5.929	1.033
63.375	2.417	81.630	6.210	5.787	8.126	-1.058
63.500	2.444	71.697	7.397	6.828	10.852	-3.113
63.625	2.448	68.038	8.196	7.580	12.993	-5.114
63.750	2.419	67.570	8.421	7.873	12.739	-7.025
63.875	2.364	66.367	8.125	7.714	10.291	-8.746
64.000	2.296	65.874	7.578	7.282	8.660	-10.218
64.125	2.238	68.965	7.120	6.836	8.236	-11.337
64.250	2.198	71.436	6.888	6.536	8.101	-12.138
64.375	2.179	71.427	6.861	6.406	7.994	-12.637
64.500	2.177	72.330	6.966	6.402	7.965	-12.863
64.625	2.189	72.921	7.125	6.467	8.065	-12.822
64.750	2.206	70.757	7.275	6.540	8.128	-12.638
64.875	2.224	71.365	7.386	6.594	8.204	-12.415
65.000	2.241	77.326	7.429	6.609	8.314	-12.206
65.125	2.252	82.404	7.379	6.567	8.306	-12.034
65.250	2.260	82.241	7.271	6.483	8.112	-11.903
65.375	2.266	81.545	7.147	6.377	7.858	-11.796
65.500	2.274	83.550	7.043	6.269	7.571	-11.715
65.625	2.287	87.251	6.989	6.183	7.440	-11.776
65.750	2.305	91.051	7.001	6.142	7.382	-11.952
65.875	2.325	94.448	7.110	6.176	7.261	-12.231
66.000	2.347	95.870	7.332	6.311	7.104	-12.640
66.125	2.372	92.431	7.648	6.549	7.216	-13.258
66.250	2.394	85.615	7.945	6.808	8.262	-14.042
66.375	2.401	77.410	8.117	7.009	9.907	-14.984
66.500	2.381	70.445	8.099	7.087	11.274	-15.979
66.625	2.332	68.427	7.911	7.029	11.354	-16.843
66.750	2.279	69.818	7.727	6.939	9.549	-17.536
66.875	2.243	71.500	7.679	6.906	8.798	-18.071
67.000	2.239	71.309	7.810	6.978	9.106	-18.401
67.125	2.264	70.176	8.062	7.139	9.843	-18.503
67.250	2.291	68.102	8.266	7.292	10.344	-18.433
67.375	2.298	64.758	8.317	7.364	10.117	-18.186
67.500	2.279	62.142	8.199	7.330	9.184	-17.796
67.625	2.243	63.687	7.997	7.232	8.533	-17.313
67.750	2.208	67.004	7.838	7.153	8.096	-16.780
67.875	2.184	68.971	7.754	7.118	7.761	-16.193
68.000	2.172	71.036	7.694	7.094	7.462	-15.545
68.125	2.174	77.108	7.541	6.986	7.165	-14.783
68.250	2.191	84.604	7.238	6.740	6.754	-13.913
68.375	2.225	88.888	6.807	6.359	6.196	-12.969
68.500	2.272	90.461	6.336	5.905	5.488	-12.067
68.625	2.321	93.927	5.961	5.482	4.794	-11.309
68.750	2.359	97.277	5.742	5.154	4.495	-10.722
68.875	2.381	98.790	5.666	4.933	4.574	-10.325
69.000	2.389	99.207	5.672	4.790	4.773	-10.131
69.125	2.391	97.788	5.672	4.685	4.919	-10.203
69.250	2.389	93.924	5.648	4.602	5.034	-10.502
69.375	2.386	90.592	5.711	4.600	5.145	-11.041
69.500	2.383	92.166	6.087	4.816	5.403	-11.811
69.625	2.390	95.484	7.135	5.491	6.574	-12.795
69.750	2.414	94.859	8.836	6.624	9.915	-13.961
69.875	2.454	87.084	10.940	8.083	15.077	-15.309
70.000	2.493	74.059	12.901	9.541	20.651	-16.804
70.125	2.495	64.146	13.859	10.421	24.965	-18.382
70.250	2.450	60.880	13.517	10.467	21.573	-19.943
70.375	2.369	60.602	12.120	9.772	13.735	-21.424
70.500	2.282	58.957	10.346	8.742	10.080	-22.742
70.625	2.218	57.270	8.964	7.866	9.476	-23.849
70.750	2.182	57.258	8.395	7.327	9.522	-24.740
70.875	2.168	56.673	8.257	7.095	9.633	-25.371
71.000	2.164	55.977	8.332	7.057	9.698	-25.727
71.125	2.162	57.398	8.416	7.087	9.572	-25.834
71.250	2.156	60.238	8.411	7.096	9.394	-25.773
71.375	2.149	62.601	8.317	7.066	9.268	-25.575
71.500	2.144	62.993	8.174	7.013	9.181	-25.258
71.625	2.142	63.220	8.049	6.975	9.147	-24.786
71.750	2.145	63.642	8.000	6.987	9.077	-24.186
71.875	2.150	63.747	8.050	7.063	8.924	-23.472
72.000	2.157	62.888	8.176	7.187	8.751	-22.653
72.125	2.162	60.969	8.281	7.285	8.673	-21.653
72.250	2.166	62.132	8.236	7.262	8.666	-20.517
72.375	2.170	67.038	7.957	7.051	8.514	-19.246
72.500	2.177	74.398	7.437	6.641	8.166	-17.848
72.625	2.194	83.737	6.763	6.091	7.587	-16.365
72.750	2.224	92.156	6.122	5.548	6.688	-14.865
72.875	2.262	96.520	5.631	5.105	5.633	-13.423
73.000	2.299	96.905	5.339	4.805	4.834	-12.119
73.125	2.326	98.797	5.241	4.661	4.664	-11.040
73.250	2.340	102.413	5.230	4.609	4.685	-10.180
73.375	2.346	102.297	5.243	4.605	4.621	-9.547
73.500	2.352	98.931	5.251	4.626	4.511	-9.143
73.625	2.359	98.546	5.274	4.674	4.460	-8.959
73.750	2.366	100.299	5.347	4.759	4.504	-8.947
73.875	2.372	101.152	5.476	4.883	4.626	-9.028
74.000	2.377	102.236	5.626	5.027	4.806	-9.147
74.125	2.384	103.559	5.728	5.149	5.036	-9.309
74.250	2.393	100.446	5.755	5.223	5.221	-9.508
74.375	2.400	93.691	5.719	5.246	5.174	-9.751
74.500	2.401	89.326	5.668	5.233	4.988	-10.057
74.625	2.393	91.576	5.659	5.215	5.013	-10.433
74.750	2.378	94.644	5.706	5.216	5.265	-10.844
74.875	2.360	93.893	5.807	5.255	5.625	-11.325
75.000	2.343	90.073	5.968	5.351	5.773	-11.867
75.125	2.332	88.404	6.243	5.556	5.891	-12.505
75.250	2.323	89.380	6.682	5.900	6.016	-13.202
75.375	2.311	87.633	7.341	6.417	6.336	-13.919
75.500	2.290	81.215	8.237	7.105	6.980	-14.605
75.625	2.262	73.789	9.288	7.890	7.767	-15.219
75.750	2.239	70.729	10.222	8.562	8.447	-15.699
75.875	2.237	72.863	10.752	8.907	8.774	-16.010
76.000	2.264	76.184	10.640	8.758	8.633	-16.162
76.125	2.317	79.044	9.711	8.018	8.098	-16.089
76.250	2.369	84.337	8.299	6.960	7.104	-15.861
76.375	2.401	91.043	6.783	5.851	5.862	-15.551
76.500	2.404	93.445	5.599	4.950	5.061	-15.200
76.625	2.389	89.543	5.374	4.604	5.123	-14.857
76.750	2.380	85.487	6.460	5.057	6.380	-14.613
76.875	2.393	80.819	9.172	6.624	9.738	-14.482
77.000	2.432	73.900	13.469	9.472	15.778	-14.494
77.125	2.492	65.892	18.651	13.436	23.714	-14.696
77.250	2.548	59.371	23.009	17.340	30.570	-15.057
77.375	2.577	55.302	25.017	19.900	32.024	-15.530
77.500	2.560	53.325	23.898	20.099	27.018	-16.086
77.625	2.494	54.596	20.166	17.801	20.038	-16.665
77.750	2.411	59.208	16.132	14.788	15.213	-17.203
77.875	2.334	65.921	12.989	12.133	12.159	-17.691
78.000	2.280	71.490	11.030	10.221	10.538	-18.118
78.125	2.251	72.449	10.149	9.109	9.625	-18.463
78.250	2.234	70.657	9.829	8.502	9.278	-18.744
78.375	2.218	66.985	9.808	8.240	9.423	-18.951
78.500	2.201	61.911	9.901	8.190	9.707	-19.073
78.625	2.189	58.109	10.006	8.270	9.916	-19.156
78.750	2.188	57.528	10.120	8.418	9.952	-19.251
78.875	2.198	60.102	10.295	8.637	9.918	-19.366
79.000	2.215	63.446	10.583	8.939	9.850	-19.472
79.125	2.232	65.897	10.985	9.306	9.675	-19.543
79.250	2.245	66.318	11.370	9.639	9.349	-19.594
79.375	2.255	64.812	11.587	9.828	8.941	-19.620
79.500	2.262	63.062	11.514	9.779	8.543	-19.636
79.625	2.259	62.537	11.089	9.434	8.355	-19.675
79.750	2.248	62.860	10.491	8.924	8.353	-19.702
79.875	2.229	63.227	9.894	8.382	8.476	-19.725
80.000	2.209	63.690	9.444	7.923	8.590	-19.797
80.125	2.195	64.269	9.237	7.638	8.652	-19.906
80.250	2.188	65.096	9.203	7.503	8.686	-19.974
80.375	2.186	66.183	9.260	7.479	8.708	-20.038
80.500	2.184	65.992	9.329	7.520	8.762	-20.147
80.625	2.180	64.712	9.356	7.587	8.902	-20.278
80.750	2.174	64.169	9.354	7.657	9.118	-20.409
80.875	2.169	65.349	9.365	7.728	9.334	-20.519
81.000	2.166	67.550	9.432	7.809	9.474	-20.606
81.125	2.165	67.230	9.587	7.910	9.457	-20.723
81.250	2.165	64.286	9.788	8.021	9.401	-20.855
81.375	2.163	60.781	9.980	8.126	9.380	-20.974
81.500	2.161	59.757	10.106	8.204	9.355	-21.074
81.625	2.159	61.366	10.127	8.238	9.364	-21.149
81.750	2.161	61.708	10.081	8.242	9.403	-21.205
81.875	2.164	60.724	10.012	8.234	9.415	-21.276
82.000	2.166	60.086	9.955	8.228	9.420	-21.353
82.125	2.166	60.506	9.934	8.235	9.450	-21.400
82.250	2.160	61.454	9.935	8.246	9.478	-21.445
82.375	2.153	62.599	9.942	8.247	9.497	-21.491
82.500	2.146	63.403	9.939	8.229	9.476	-21.499
82.625	2.143	63.219	9.916	8.182	9.491	-21.461
82.750	2.145	62.571	9.883	8.121	9.488	-21.444
82.875	2.151	63.590	9.850	8.060	9.458	-21.425
83.000	2.158	64.981	9.831	8.011	9.436	-21.357
83.125	2.163	62.703	9.836	7.985	9.390	-21.221
83.250	2.164	57.935	9.849	7.976	9.381	-21.081
83.375	2.162	56.011	9.835	7.968	9.384	-20.960
83.500	2.158	58.552	9.749	7.938	9.420	-20.832
83.625	2.155	59.850	9.543	7.853	9.484	-20.673
83.750	2.157	59.628	9.246	7.709	9.503	-20.486
83.875	2.166	61.423	8.916	7.523	9.379	-20.311
84.000	2.182	62.980	8.630	7.327	9.034	-20.183
84.125	2.200	61.821	8.479	7.177	8.748	-20.112
84.250	2.210	62.868	8.468	7.103	8.737	-20.066
84.375	2.210	66.884	8.569	7.116	8.982	-20.035
84.500	2.201	68.719	8.733	7.199	9.246	-20.050
84.625	2.188	67.801	8.886	7.315	9.311	-20.118
84.750	2.179	68.504	8.968	7.404	9.577	-20.193
84.875	2.175	70.129	8.950	7.429	10.081	-20.249
85.000	2.177	71.341	8.835	7.373	10.704	-20.309
85.125	2.182	73.282	8.658	7.246	11.054	-20.431
85.250	2.186	74.658	8.490	7.099	10.482	-20.610
85.375	2.186	72.666	8.382	6.974	9.001	-20.804
85.500	2.179	67.277	8.362	6.904	7.980	-20.991
85.625	2.167	62.723	8.439	6.913	7.782	-21.186
85.750	2.155	60.204	8.561	6.977	7.919	-21.404
85.875	2.146	58.150	8.682	7.073	8.242	-21.618
86.000	2.140	55.589	8.761	7.167	8.530	-21.749
86.125	2.138	55.206	8.764	7.225	8.723	-21.711
86.250	2.139	57.767	8.719	7.240	8.819	-21.537
86.375	2.141	61.578	8.667	7.218	8.851	-21.290
86.500	2.144	64.319	8.651	7.182	8.853	-21.006
86.625	2.145	64.954	8.709	7.162	8.842	-20.659
86.750	2.145	64.434	8.820	7.177	8.862	-20.263
86.875	2.144	63.060	8.956	7.228	8.986	-19.851
87.000	2.143	61.744	9.082	7.303	9.140	-19.460
87.125	2.143	62.469	9.160	7.378	9.206	-19.073
87.250	2.142	64.511	9.183	7.432	9.163	-18.675
87.375	2.142	65.352	9.152	7.455	9.009	-18.249
87.500	2.143	66.211	9.086	7.451	8.763	-17.795
87.625	2.149	68.665	9.030	7.439	8.401	-17.307
87.750	2.156	69.266	9.033	7.446	8.034	-16.775
87.875	2.162	66.121	9.120	7.491	7.753	-16.183
88.000	2.164	63.663	9.282	7.575	7.604	-15.555
88.125	2.163	64.729	9.447	7.663	7.586	-14.915
88.250	2.161	66.150	9.489	7.683	7.631	-14.229
88.375	2.165	67.057	9.304	7.571	7.659	-13.452
88.500	2.177	69.478	8.864	7.299	7.525	-12.569
88.625	2.204	73.536	8.276	6.915	7.160	-11.621
88.750	2.241	77.848	7.835	6.597	6.679	-10.693
88.875	2.282	83.359	7.804	6.523	6.309	-9.805
89.000	2.319	89.934	8.319	6.819	6.452	-8.934
89.125	2.347	93.725	9.298	7.509	7.822	-8.136
89.250	2.368	92.915	10.262	8.308	9.991	-7.473
89.375	2.385	89.827	10.788	8.908	12.130	-6.976
89.500	2.399	88.655	10.592	9.033	13.600	-6.637
89.625	2.404	92.100	9.610	8.507	12.206	-6.446
89.750	2.398	98.843	8.356	7.647	8.615	-6.339
89.875	2.384	105.362	7.244	6.776	6.182	-6.314
90.000	2.369	108.113	6.512	6.121	5.456	-6.381
90.125	2.363	108.057	6.232	5.793	5.364	-6.489
90.250	2.365	108.540	6.185	5.669	5.233	-6.587
90.375	2.372	109.777	6.197	5.625	5.196	-6.696
90.500	2.374	111.054	6.130	5.549	5.154	-6.831
90.625	2.365	111.975	5.920	5.374	5.007	-6.987
90.750	2.348	113.852	5.655	5.153	4.848	-7.146
90.875	2.331	116.919	5.463	4.980	4.727	-7.312
91.000	2.320	120.416	5.492	4.963	4.797	-7.494
91.125	2.321	119.537	5.937	5.251	5.302	-7.721
91.250	2.339	112.081	6.765	5.836	6.333	-7.984
91.375	2.372	100.690	7.866	6.657	7.829	-8.270
91.500	2.417	90.239	9.015	7.559	9.480	-8.608
91.625	2.457	84.212	9.846	8.275	10.683	-9.043
91.750	2.477	81.632	10.178	8.627	10.727	-9.560
91.875	2.466	81.683	10.010	8.575	9.975	-10.116
92.000	2.428	82.273	9.515	8.221	9.029	-10.656
92.125	2.371	81.690	8.965	7.761	8.353	-11.164
92.250	2.312	81.967	8.570	7.384	7.980	-11.659
92.375	2.260	83.217	8.382	7.152	7.766	-12.124
92.500	2.218	84.582	8.372	7.058	7.699	-12.515
92.625	2.191	85.762	8.474	7.059	7.688	-12.777
92.750	2.175	87.535	8.591	7.078	7.772	-12.916
92.875	2.171	88.100	8.674	7.076	7.858	-12.973
93.000	2.175	85.931	8.695	7.039	7.881	-12.990
93.125	2.188	84.147	8.645	6.975	7.787	-12.954
93.250	2.205	84.725	8.556	6.906	7.647	-12.877
93.375	2.221	85.830	8.453	6.849	7.531	-12.789
93.500	2.232	85.270	8.365	6.819	7.559	-12.729
93.625	2.231	84.423	8.368	6.869	7.778	-12.685
93.750	2.221	84.296	8.527	7.043	7.956	-12.655
93.875	2.213	84.783	8.890	7.376	7.910	-12.635
94.000	2.221	85.564	9.429	7.849	7.709	-12.645
94.125	2.265	86.682	10.011	8.364	7.513	-12.722
94.250	2.338	84.462	10.433	8.754	7.409	-12.815
94.375	2.415	79.042	10.557	8.899	7.423	-12.910
94.500	2.461	75.499	10.342	8.753	7.544	-13.016
94.625	2.444	77.614	9.856	8.352	7.696	-13.160
94.750	2.387	81.943	9.327	7.884	7.796	-13.314
94.875	2.326	86.042	8.900	7.470	7.880	-13.447
95.000	2.283	87.518	8.638	7.173	7.976	-13.536
95.125	2.268	85.409	8.537	7.016	8.023	-13.576
95.250	2.269	83.726	8.510	6.953	7.973	-13.615
95.375	2.273	84.247	8.525	6.966	7.970	-13.631
95.500	2.275	84.525	8.613	7.069	8.060	-13.592
95.625	2.272	82.591	8.889	7.320	8.209	-13.520
95.750	2.263	80.754	9.384	7.726	8.561	-13.483
95.875	2.248	77.123	10.057	8.264	9.181	-13.512
96.000	2.229	71.143	10.783	8.861	9.895	-13.596
96.125	2.208	66.342	11.337	9.371	10.436	-13.709
96.250	2.191	66.064	11.588	9.673	10.584	-13.857
96.375	2.182	69.450	11.497	9.705	10.122	-14.057
96.500	2.182	72.546	11.128	9.486	9.282	-14.313
96.625	2.189	71.933	10.604	9.093	8.861	-14.589
96.750	2.192	70.105	10.080	8.668	8.801	-14.830
96.875	2.187	71.440	9.619	8.279	8.824	-15.031
97.000	2.173	75.648	9.242	7.952	8.733	-15.190
97.125	2.154	77.450	8.955	7.697	8.530	-15.312
97.250	2.139	74.926	8.745	7.502	8.353	-15.375
97.375	2.134	71.797	8.619	7.370	8.172	-15.378
97.500	2.137	73.377	8.581	7.304	8.062	-15.347
97.625	2.147	78.634	8.615	7.300	8.099	-15.267
