#Depth	GR	RT	RI	RXO	AC	SP	R2M	R025	DEN
214.750	86.841	5.762	4.427	5.451	370.781	-23.325	5.467	3.408	2.277
214.875	92.265	5.350	4.122	5.127	380.850	-23.345	5.672	3.270	2.305
215.000	99.218	5.102	3.920	5.121	391.663	-23.320	5.705	3.084	2.331
215.125	106.043	5.037	3.842	5.409	400.978	-23.197	5.670	2.850	2.349
215.250	109.371	5.151	3.892	5.451	403.179	-22.986	5.805	2.991	2.355
215.375	106.739	5.338	3.997	5.311	407.014	-22.730	5.581	3.089	2.345
215.500	102.835	5.491	4.094	5.321	404.744	-22.466	5.411	3.117	2.338
215.625	98.017	5.520	4.131	5.311	407.598	-22.186	5.316	3.122	2.336
215.750	93.616	5.444	4.111	5.223	412.687	-21.914	5.281	3.106	2.339
215.875	90.129	5.333	4.066	5.117	416.089	-21.685	5.256	3.036	2.339
216.000	85.411	5.240	4.027	5.170	425.961	-21.517	5.168	2.862	2.332
216.125	82.679	5.238	4.034	5.212	419.659	-21.416	5.207	3.035	2.312
216.250	82.450	5.278	4.069	5.084	408.130	-21.305	5.182	3.123	2.296
216.375	85.589	5.349	4.127	4.986	393.793	-21.204	5.068	3.087	2.282
216.500	89.166	5.437	4.197	5.043	382.037	-21.116	4.915	3.126	2.266
216.625	90.099	5.529	4.268	5.214	377.100	-21.031	4.769	3.337	2.251
216.750	88.808	5.630	4.334	5.202	377.933	-20.926	4.594	3.390	2.234
216.875	84.288	5.606	4.315	4.966	377.858	-20.741	4.542	3.030	2.223
217.000	86.364	5.468	4.220	4.815	380.942	-20.613	4.364	2.888	2.213
217.125	91.281	5.273	4.078	4.438	385.453	-20.578	4.267	2.834	2.210
217.250	95.583	5.081	3.929	4.157	390.390	-20.571	4.270	2.746	2.215
217.375	96.288	4.945	3.811	4.303	393.793	-20.542	4.304	2.611	2.227
217.500	91.073	4.894	3.747	4.598	391.056	-20.563	4.311	2.624	2.243
217.625	86.354	4.891	3.729	4.571	385.400	-20.739	4.356	2.909	2.245
217.750	85.411	4.903	3.721	4.517	388.583	-20.903	4.496	2.958	2.229
217.875	84.815	4.906	3.718	4.503	393.107	-21.005	4.665	3.133	2.203
218.000	85.510	4.904	3.723	4.560	394.931	-21.081	4.743	3.390	2.180
218.125	87.775	4.931	3.752	4.714	392.274	-21.175	4.687	3.562	2.168
218.250	86.185	5.030	3.838	5.012	384.452	-21.254	4.670	3.636	2.170
218.375	84.199	5.240	4.002	5.429	378.222	-21.238	4.634	3.359	2.180
218.500	80.225	5.552	4.237	5.704	375.732	-21.248	4.490	3.506	2.190
218.625	76.470	5.921	4.503	5.971	371.099	-21.204	4.322	3.456	2.201
218.750	75.556	6.237	4.719	6.395	367.697	-21.093	4.284	3.270	2.214
218.875	78.606	6.383	4.808	6.774	368.622	-20.961	4.444	3.190	2.230
219.000	83.324	6.275	4.732	6.155	367.182	-20.906	4.639	3.136	2.247
219.125	86.801	5.957	4.507	4.988	373.333	-20.826	4.703	3.269	2.244
219.250	88.450	5.577	4.238	4.721	373.711	-20.776	4.835	3.139	2.231
219.375	85.947	5.247	3.983	4.794	377.343	-20.757	4.914	3.165	2.221
219.500	82.272	5.002	3.774	4.826	382.946	-20.795	4.881	3.230	2.224
219.625	80.265	4.847	3.632	4.641	387.487	-20.872	4.760	3.150	2.238
219.750	77.186	4.797	3.582	4.288	394.701	-20.851	4.679	3.141	2.254
219.875	79.371	4.829	3.614	4.241	396.755	-20.804	4.542	3.054	2.258
