#Depth	DEN	GR	RT	RI	RXO	SP
50.000	2.135	36.574	2.882	0.938	1.607	-9999.000
50.125	2.132	36.113	2.909	0.954	1.632	-9999.000
50.250	2.124	33.754	3.009	0.969	1.644	-9999.000
50.375	2.127	31.890	3.194	0.989	1.638	-9999.000
50.500	2.138	31.919	3.425	1.017	1.627	-9999.000
50.625	2.145	33.411	3.610	1.043	1.634	-9999.000
50.750	2.137	35.095	3.699	1.054	1.645	-9999.000
50.875	2.118	35.529	3.690	1.049	1.646	-9999.000
51.000	2.099	34.986	3.612	1.037	1.649	-9999.000
51.125	2.091	36.395	3.495	1.022	1.655	-9999.000
51.250	2.096	39.699	3.341	1.000	1.654	-9999.000
51.375	2.109	42.941	3.169	0.966	1.641	-9999.000
51.500	2.126	44.222	3.076	0.923	1.629	-9999.000
51.625	2.141	42.900	3.214	0.881	1.610	98.797
51.750	2.154	40.730	3.618	0.859	1.598	98.797
51.875	2.160	38.926	4.261	0.878	1.593	98.591
52.000	2.158	37.773	5.069	0.941	1.590	98.346
52.125	2.145	36.701	5.901	1.041	1.603	98.256
52.250	2.130	34.969	6.556	1.135	1.612	98.248
52.375	2.122	33.277	6.909	1.188	1.601	98.341
52.500	2.133	32.392	6.855	1.182	1.576	98.492
52.625	2.163	33.610	6.394	1.106	1.559	98.652
52.750	2.189	37.463	5.956	0.997	1.545	98.758
52.875	2.189	42.770	5.932	0.897	1.532	98.762
53.000	2.157	47.723	6.525	0.841	1.523	98.639
53.125	2.107	50.998	7.622	0.855	1.496	98.268
53.250	2.065	52.393	8.697	0.909	1.454	97.668
53.375	2.044	52.171	9.414	0.974	1.421	96.817
53.500	2.040	51.728	9.657	1.023	1.412	95.740
53.625	2.046	53.876	9.566	1.038	1.427	94.427
53.750	2.053	56.921	9.441	1.039	1.433	92.947
53.875	2.058	57.855	9.365	1.035	1.436	91.375
54.000	2.060	56.617	9.370	1.026	1.439	89.746
54.125	2.059	53.869	9.439	1.015	1.448	88.189
54.250	2.053	49.780	9.425	1.009	1.450	86.743
54.375	2.046	45.874	9.201	1.009	1.432	85.452
54.500	2.040	43.540	8.725	1.015	1.404	84.344
54.625	2.034	43.530	8.055	1.023	1.364	83.543
54.750	2.033	43.498	7.409	1.029	1.325	83.017
54.875	2.041	42.523	6.959	1.031	1.292	82.747
55.000	2.062	39.828	6.844	1.029	1.250	82.696
55.125	2.087	35.391	7.124	1.024	1.216	82.899
55.250	2.102	32.822	7.620	1.015	1.172	83.343
55.375	2.100	33.121	8.154	1.004	1.103	84.021
55.500	2.083	35.975	8.503	0.997	1.014	84.924
55.625	2.070	39.155	8.489	0.997	0.942	86.094
55.750	2.069	39.968	8.278	1.008	0.911	87.542
55.875	2.081	39.240	8.055	1.028	0.910	89.224
56.000	2.098	39.552	7.942	1.053	0.942	91.131
56.125	2.110	41.795	7.952	1.078	1.060	93.129
56.250	2.108	41.357	7.984	1.104	1.223	95.068
56.375	2.092	37.055	7.999	1.131	1.339	96.888
56.500	2.062	32.841	8.018	1.154	1.347	98.572
56.625	2.028	33.572	8.082	1.159	1.276	100.088
