#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
349.875	2.246	-10.983	10.414	9.031	10.414	85.518	7.702	7.148	7.927
350.000	2.244	-10.988	10.431	9.033	10.431	85.518	7.700	7.148	8.532
350.125	2.246	-11.000	10.440	9.012	10.440	85.518	7.699	7.150	8.985
350.250	2.248	-11.015	10.455	8.983	10.455	85.518	7.698	7.152	9.613
350.375	2.253	-11.030	10.481	8.955	10.481	85.518	7.698	7.153	11.690
350.500	2.263	-11.029	10.469	8.937	10.469	85.518	7.698	7.154	15.187
350.625	2.278	-11.019	10.457	8.933	10.457	85.518	7.700	7.154	17.829
350.750	2.294	-11.019	10.457	8.932	10.457	85.518	7.701	7.154	18.591
350.875	2.308	-11.018	10.453	8.929	10.453	85.518	7.701	7.154	18.215
351.000	2.318	-11.033	10.446	8.922	10.446	85.518	7.701	7.154	17.615
351.125	2.317	-11.017	10.439	8.919	10.439	85.518	7.701	7.154	17.652
351.250	2.308	-10.992	10.438	8.925	10.438	85.518	7.701	7.154	17.705
351.375	2.298	-10.985	10.429	8.942	10.429	85.518	7.701	7.154	17.316
351.500	2.292	-11.018	10.426	8.962	10.426	85.518	7.701	7.154	17.467
351.625	2.291	-11.010	10.438	8.972	10.438	85.518	7.701	7.154	18.475
351.750	2.289	-10.990	10.432	8.972	10.432	85.518	7.701	7.154	17.759
351.875	2.283	-10.951	10.402	8.971	10.402	85.518	7.701	7.154	12.358
352.000	2.270	-10.918	10.389	8.978	10.389	85.518	7.701	7.154	9.087
352.125	2.253	-10.918	10.389	9.005	10.389	85.518	7.701	7.154	8.344
352.250	2.239	-10.905	10.381	9.042	10.381	85.518	7.701	7.154	8.171
352.375	2.233	-10.892	10.391	9.073	10.391	85.518	7.701	7.154	8.659
352.500	2.241	-10.849	10.400	9.077	10.400	85.518	7.701	7.154	9.268
352.625	2.264	-10.847	10.397	9.055	10.397	85.518	7.701	7.154	10.113
352.750	2.290	-10.857	10.404	9.055	10.404	85.518	7.701	7.154	10.327
352.875	2.308	-10.881	10.431	9.055	10.431	85.518	7.701	7.154	9.247
353.000	2.311	-10.896	10.460	9.055	10.460	85.518	7.701	7.154	8.214
353.125	2.304	-10.891	10.483	9.056	10.483	85.518	7.701	7.154	7.719
353.250	2.268	-10.876	10.489	9.056	10.489	85.518	7.701	7.154	7.908
353.375	2.153	-10.839	10.479	9.056	10.479	85.518	7.701	7.154	8.078
353.500	1.959	-10.838	10.458	9.057	10.458	85.518	7.701	7.154	7.796
353.625	1.751	-10.850	10.446	9.058	10.446	85.518	7.701	7.154	6.820
353.750	1.581	-10.840	10.441	9.058	10.441	85.518	7.701	7.154	5.254
353.875	1.462	-10.835	10.443	9.058	10.443	85.518	7.701	7.154	4.255
354.000	1.393	-10.848	10.422	9.057	10.422	85.518	7.701	7.154	3.938
354.125	1.370	-10.878	10.407	9.057	10.407	85.518	7.701	7.154	3.950
354.250	1.363	-10.908	10.405	9.058	10.405	85.518	7.701	7.154	3.958
354.375	1.364	-10.970	10.399	9.059	10.399	85.518	7.701	7.154	3.958
354.500	1.366	-11.011	10.409	9.059	10.409	85.518	7.701	7.154	3.955
354.625	1.368	-11.032	10.407	9.058	10.407	85.518	7.701	7.154	3.978
354.750	1.370	-11.059	10.405	9.059	10.405	85.518	7.701	7.154	3.974
354.875	1.371	-11.067	10.400	9.060	10.400	85.518	7.701	7.154	3.968
355.000	1.371	-11.070	10.401	9.062	10.401	85.518	7.701	7.154	3.956
