#Depth	SP	GR	RI	RT	RXO	DEN
97.000	-14.423	81.773	5.693	6.902	6.792	2.184
97.125	-13.912	82.311	5.687	6.905	6.851	2.194
97.250	-13.019	86.551	5.558	6.718	6.448	2.208
97.375	-11.791	91.082	5.243	6.278	5.988	2.218
97.500	-10.234	94.351	4.809	5.715	5.635	2.236
97.625	-9.151	95.002	4.445	5.256	5.414	2.254
97.750	-9.052	95.631	4.176	4.930	5.375	2.270
97.875	-9.685	95.655	4.080	4.835	5.462	2.268
98.000	-10.631	96.048	4.165	4.972	5.638	2.248
98.125	-11.699	94.972	4.385	5.286	5.892	2.214
98.250	-13.011	91.579	4.735	5.759	6.216	2.186
98.375	-14.064	88.084	5.167	6.305	6.507	2.165
98.500	-15.205	86.242	5.538	6.745	6.694	2.151
98.625	-16.460	86.097	5.804	7.029	6.787	2.142
98.750	-17.612	84.868	6.025	7.246	6.807	2.145
98.875	-18.565	83.032	6.194	7.422	6.748	2.151
99.000	-19.157	81.408	6.379	7.656	6.668	2.144
99.125	-19.282	80.841	6.489	7.798	6.605	2.128
99.250	-19.248	81.168	6.428	7.719	6.574	2.124
99.375	-19.260	80.861	6.252	7.477	6.564	2.139
99.500	-19.218	80.258	6.020	7.143	6.494	2.166
99.625	-19.183	80.655	5.809	6.833	6.344	2.180
99.750	-19.103	81.272	5.713	6.687	6.246	2.175
99.875	-19.191	80.864	5.756	6.733	6.293	2.160
100.000	-19.618	77.658	5.981	6.987	6.425	2.144
100.125	-20.099	74.984	6.220	7.245	6.550	2.132
100.250	-20.232	72.990	6.403	7.435	6.617	2.134
100.375	-20.099	72.924	6.513	7.538	6.609	2.149
100.500	-19.687	74.207	6.485	7.499	6.560	2.171
100.625	-18.626	77.412	6.317	7.298	6.547	2.188
100.750	-17.085	81.571	5.941	6.839	6.502	2.200
100.875	-15.422	85.714	5.422	6.214	6.217	2.218
101.000	-13.991	89.946	4.885	5.571	5.658	2.240
101.125	-12.950	93.023	4.421	5.025	5.127	2.268
101.250	-12.527	95.969	4.107	4.654	4.966	2.287
101.375	-12.706	97.939	3.965	4.481	5.131	2.298
101.500	-13.209	99.793	4.088	4.607	5.347	2.297
101.625	-14.018	98.965	4.484	5.045	5.528	2.287
101.750	-14.960	95.308	5.075	5.708	5.980	2.264
101.875	-16.017	90.029	5.783	6.505	6.727	2.223
102.000	-16.860	84.143	6.596	7.404	7.268	2.170
102.125	-17.192	78.280	7.334	8.222	7.349	2.120
102.250	-16.742	72.911	7.751	8.735	7.223	2.091
102.375	-15.880	70.349	7.815	8.849	7.148	2.085
102.500	-15.273	69.203	7.475	8.467	7.062	2.099
102.625	-15.155	69.360	6.903	7.740	6.909	2.126
102.750	-15.338	72.242	6.259	6.871	6.690	2.163
102.875	-15.498	78.336	5.732	6.174	6.394	2.209
103.000	-15.327	84.941	5.617	6.030	6.113	2.265
103.125	-14.758	87.448	6.195	6.788	6.682	2.341
103.250	-14.293	86.534	7.527	8.439	9.740	2.439
103.375	-14.384	82.469	10.493	11.995	15.781	2.533
103.500	-15.109	78.854	15.734	18.464	23.742	2.592
103.625	-16.246	74.139	20.599	24.045	31.596	2.600
103.750	-17.653	71.785	22.109	25.532	36.645	2.539
103.875	-18.962	71.018	20.278	22.922	35.196	2.416
104.000	-19.828	71.993	15.934	17.321	25.965	2.273
104.125	-20.213	71.414	12.439	13.226	16.273	2.175
