#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
169.875	2.556	-6.485	31.858	17.137	31.858	64.425	18.184	17.700	19.291
170.000	2.565	-6.459	32.130	17.310	32.130	65.164	18.516	18.000	22.339
170.125	2.563	-6.457	32.023	17.396	32.023	69.034	18.665	18.063	22.730
170.250	2.554	-6.467	31.429	17.420	31.429	70.598	18.716	17.969	20.642
170.375	2.545	-6.473	30.635	17.426	30.635	67.916	18.766	17.831	18.094
170.500	2.540	-6.475	30.012	17.428	30.012	64.771	18.859	17.728	17.507
170.625	2.540	-6.495	29.773	17.404	29.773	65.817	18.926	17.662	20.266
170.750	2.539	-6.526	29.616	17.369	29.616	70.352	18.853	17.552	22.712
170.875	2.534	-6.581	29.147	17.280	29.147	74.542	18.593	17.347	19.990
171.000	2.525	-6.644	28.196	17.132	28.196	76.206	18.210	17.067	16.843
171.125	2.518	-6.700	26.959	17.078	26.959	75.984	17.861	16.818	16.236
171.250	2.521	-6.759	25.855	17.205	25.855	72.927	17.662	16.692	16.530
171.375	2.539	-6.823	25.116	17.451	25.116	67.511	17.629	16.707	16.712
171.500	2.565	-6.899	24.759	17.668	24.759	62.435	17.712	16.819	17.255
171.625	2.585	-6.978	24.670	17.748	24.670	59.840	17.853	16.962	17.454
171.750	2.588	-7.066	24.764	17.768	24.764	58.534	18.039	17.102	17.347
171.875	2.575	-7.181	25.086	17.769	25.086	57.296	18.319	17.274	16.509
172.000	2.557	-7.349	25.674	17.824	25.674	57.439	18.730	17.526	16.888
172.125	2.547	-7.614	26.558	18.037	26.558	59.975	19.209	17.844	19.427
172.250	2.546	-7.940	27.558	18.206	27.558	63.203	19.563	18.096	18.983
172.375	2.548	-8.316	28.421	18.122	28.421	67.048	19.641	18.170	18.493
172.500	2.545	-8.708	28.880	17.871	28.880	69.690	19.408	18.032	20.302
172.625	2.538	-9.113	28.701	17.676	28.701	68.123	18.952	17.736	19.288
172.750	2.533	-9.546	28.193	17.500	28.193	64.447	18.492	17.435	16.244
172.875	2.533	-9.984	27.733	17.226	27.733	63.218	18.122	17.197	15.219
173.000	2.538	-10.415	27.504	16.845	27.504	65.853	17.817	17.000	17.317
173.125	2.541	-10.819	27.322	16.410	27.322	67.897	17.452	16.733	19.348
173.250	2.539	-11.207	26.752	15.953	26.752	68.397	16.964	16.330	17.836
173.375	2.532	-11.596	25.555	15.517	25.555	68.943	16.406	15.812	16.288
173.500	2.523	-11.994	23.898	15.223	23.898	70.000	15.910	15.270	15.378
173.625	2.511	-12.392	22.320	15.126	22.320	72.380	15.658	14.859	14.873
173.750	2.496	-12.735	21.241	15.110	21.241	74.993	15.668	14.654	14.432
173.875	2.480	-13.032	20.783	15.087	20.783	77.057	15.876	14.663	13.998
174.000	2.465	-13.262	20.844	15.009	20.844	78.399	16.157	14.821	14.278
174.125	2.459	-13.395	21.197	14.953	21.197	79.590	16.367	15.027	15.360
174.250	2.464	-13.441	21.557	14.972	21.557	79.762	16.455	15.183	15.886
174.375	2.476	-13.372	21.773	15.021	21.773	79.151	16.433	15.255	15.340
174.500	2.485	-13.180	21.789	15.081	21.789	80.225	16.344	15.246	14.928
174.625	2.477	-12.829	21.673	15.151	21.673	81.604	16.220	15.164	15.278
