#Depth	SP	GR	RI	RT	RXO	DEN
130.625	-31.130	61.357	8.682	10.396	8.772	2.083
130.750	-31.138	62.256	8.682	10.419	8.841	2.090
130.875	-31.332	62.525	8.730	10.517	8.628	2.094
131.000	-31.526	61.162	8.831	10.694	8.463	2.092
131.125	-31.533	59.409	8.955	10.902	8.337	2.085
131.250	-31.533	58.473	9.045	11.045	8.270	2.076
131.375	-31.585	57.900	9.074	11.075	8.449	2.068
131.500	-31.839	58.502	9.035	10.989	8.661	2.065
131.625	-31.937	59.059	8.952	10.823	8.862	2.067
131.750	-31.984	59.351	8.872	10.670	8.891	2.072
131.875	-32.263	59.053	8.841	10.603	8.833	2.078
132.000	-32.341	60.165	8.855	10.614	8.777	2.078
132.125	-32.341	61.919	8.864	10.626	8.853	2.077
132.250	-32.341	64.122	8.809	10.553	9.252	2.077
132.375	-32.341	64.461	8.671	10.373	9.553	2.081
132.500	-32.341	63.812	8.486	10.130	9.588	2.084
132.625	-32.341	61.573	8.298	9.890	9.436	2.086
132.750	-32.341	59.600	8.167	9.728	9.066	2.088
132.875	-32.341	58.682	8.115	9.660	8.693	2.089
133.000	-32.242	58.816	8.136	9.682	8.356	2.087
133.125	-31.989	59.393	8.191	9.741	8.021	2.084
133.250	-31.937	59.893	8.243	9.796	7.944	2.084
133.375	-31.859	61.748	8.272	9.820	8.254	2.086
133.500	-31.534	62.699	8.257	9.788	8.614	2.086
133.625	-31.208	62.354	8.206	9.704	8.618	2.086
133.750	-31.083	61.128	8.137	9.593	8.472	2.086
133.875	-30.804	62.529	8.079	9.485	8.319	2.088
134.000	-30.530	64.110	8.055	9.405	8.082	2.088
134.125	-30.023	63.501	8.043	9.325	8.199	2.089
134.250	-29.671	61.649	8.000	9.192	11.344	2.101
134.375	-29.112	61.191	7.917	9.016	12.982	2.126
134.500	-28.352	64.580	7.824	8.839	10.055	2.156
134.625	-27.902	69.621	7.764	8.734	8.600	2.175
134.750	-27.824	74.436	7.776	8.749	8.801	2.170
134.875	-27.529	76.986	7.883	8.924	9.202	2.151
135.000	-27.420	76.813	8.050	9.213	9.447	2.132
135.125	-27.125	75.730	8.144	9.415	9.493	2.125
135.250	-26.893	74.746	7.902	9.171	9.654	2.134
135.375	-26.660	76.015	7.182	8.289	9.762	2.153
135.500	-26.365	79.406	6.224	7.098	9.119	2.167
135.625	-26.287	83.823	5.337	6.013	7.592	2.174
135.750	-26.287	87.524	4.947	5.583	5.675	2.186
135.875	-26.287	88.332	5.091	5.845	4.790	2.214
136.000	-26.287	84.987	5.785	6.817	6.461	2.236
136.125	-26.287	79.548	7.063	8.497	8.818	2.225
136.250	-26.365	73.483	8.580	10.365	9.725	2.181
136.375	-26.784	69.494	9.846	11.818	10.272	2.138
136.500	-27.094	66.287	10.490	12.424	10.761	2.117
136.625	-27.405	63.674	10.458	12.189	11.124	2.115
136.750	-28.026	62.097	10.113	11.668	10.992	2.124
136.875	-28.321	61.551	9.856	11.333	10.235	2.137
137.000	-28.569	62.931	9.757	11.247	10.169	2.155
137.125	-28.786	63.731	9.784	11.345	10.733	2.174
137.250	-29.267	63.952	9.883	11.538	10.607	2.188
137.375	-29.516	62.210	9.997	11.743	9.599	2.191
137.500	-29.516	61.712	10.032	11.815	9.512	2.182
137.625	-29.516	63.361	9.984	11.777	10.138	2.171
137.750	-29.516	65.709	9.904	11.688	11.822	2.165
137.875	-29.516	67.167	9.832	11.612	10.956	2.163
138.000	-29.516	66.831	9.857	11.653	9.951	2.158
138.125	-29.516	65.867	9.940	11.724	10.721	2.150
138.250	-29.516	64.313	10.028	11.772	10.426	2.144
138.375	-29.516	62.364	10.122	11.813	10.189	2.143
138.500	-29.500	62.569	10.217	11.860	10.392	2.147
138.625	-29.236	63.470	10.299	11.902	10.220	2.150
138.750	-29.112	64.033	10.319	11.875	10.410	2.145
138.875	-29.112	62.355	10.261	11.752	10.972	2.136
139.000	-29.314	61.942	10.141	11.555	10.931	2.130
139.125	-29.516	62.456	9.984	11.317	10.645	2.132
139.250	-29.516	64.668	9.792	11.053	10.876	2.130
139.375	-29.516	65.056	9.622	10.847	11.901	2.108
139.500	-29.516	65.487	9.595	10.839	12.445	2.072
139.625	-29.454	65.070	9.775	11.070	11.263	2.058
139.750	-28.817	66.407	10.024	11.350	11.850	2.101
139.875	-28.383	68.724	10.253	11.589	14.188	2.192
140.000	-28.305	72.694	10.652	12.054	14.177	2.291
140.125	-28.181	74.306	11.316	12.861	10.999	2.361
140.250	-27.902	73.426	12.065	13.776	12.645	2.398
140.375	-27.622	70.011	12.280	14.053	29.789	2.418
140.500	-27.482	66.932	11.681	13.314	50.080	2.418
140.625	-27.219	65.744	10.514	11.846	45.954	2.392
140.750	-27.079	69.404	9.233	10.233	23.019	2.344
140.875	-26.815	75.619	8.296	9.064	8.980	2.293
141.000	-26.691	80.817	7.896	8.646	7.531	2.253
141.125	-26.722	80.650	8.172	9.095	8.937	2.226
141.250	-27.172	76.985	8.986	10.109	10.008	2.213
141.375	-27.886	72.561	9.903	11.121	10.514	2.205
141.500	-28.538	70.906	10.522	11.673	11.477	2.196
141.625	-29.112	70.607	10.787	11.782	12.161	2.181
141.750	-29.469	71.067	10.762	11.589	12.019	2.165
141.875	-29.516	71.515	10.522	11.188	11.281	2.151
142.000	-29.516	71.515	10.102	10.635	10.272	2.146
142.125	-29.516	71.068	9.686	10.158	9.384	2.154
142.250	-29.368	68.630	9.526	10.036	9.089	2.181
142.375	-28.926	67.880	9.685	10.330	9.322	2.226
142.500	-28.716	68.205	9.983	10.800	10.035	2.278
142.625	-28.553	70.544	10.103	11.035	12.223	2.314
142.750	-27.793	71.259	9.815	10.734	14.024	2.318
142.875	-27.467	73.108	9.167	9.968	10.958	2.297
143.000	-26.970	76.001	8.393	9.060	8.249	2.270
143.125	-26.567	81.439	7.798	8.404	7.500	2.253
143.250	-26.303	83.707	7.634	8.288	7.563	2.253
143.375	-26.287	82.649	7.940	8.706	7.930	2.270
143.500	-26.567	77.240	8.812	9.737	9.191	2.301
143.625	-27.188	72.593	10.174	11.304	10.354	2.337
143.750	-27.490	70.050	11.965	13.345	12.478	2.373
143.875	-27.710	69.223	14.145	15.849	18.230	2.400
144.000	-28.111	68.460	16.723	18.832	22.252	2.405
144.125	-28.574	66.967	19.299	21.697	21.354	2.392
144.250	-28.910	65.359	20.932	23.383	23.229	2.371
144.375	-29.143	62.654	21.417	23.754	24.865	2.351
144.500	-29.446	60.241	20.821	22.918	21.237	2.326
144.625	-29.671	58.111	19.745	21.683	15.575	2.297
144.750	-29.880	57.960	18.772	20.668	12.239	2.275
144.875	-29.919	57.942	17.884	19.757	13.294	2.272
145.000	-29.919	59.541	17.036	18.905	15.845	2.286
145.125	-29.919	60.317	16.469	18.353	17.294	2.303
145.250	-29.919	59.905	16.218	18.108	17.225	2.310
145.375	-29.997	57.880	16.168	18.054	16.284	2.309
145.500	-30.478	56.930	16.309	18.201	16.729	2.308
145.625	-30.726	57.796	16.611	18.501	19.001	2.311
145.750	-30.726	60.328	17.022	18.889	20.239	2.315
145.875	-30.726	62.349	17.600	19.477	19.814	2.320
146.000	-30.726	62.565	18.466	20.423	20.018	2.333
146.125	-30.726	62.270	19.570	21.655	22.063	2.359
146.250	-30.726	62.552	20.638	22.821	27.513	2.396
146.375	-30.726	64.880	21.424	23.630	36.282	2.429
146.500	-30.726	66.623	21.776	23.893	38.556	2.445
146.625	-30.726	67.616	21.512	23.440	29.777	2.447
146.750	-30.726	66.319	20.700	22.438	22.971	2.445
146.875	-30.726	65.945	19.603	21.197	23.387	2.439
147.000	-30.726	65.384	18.483	20.013	23.468	2.428
147.125	-30.726	64.660	17.607	19.092	20.174	2.412
147.250	-30.726	62.487	16.787	18.177	16.965	2.399
147.375	-30.726	60.959	15.956	17.232	15.622	2.392
147.500	-30.726	61.221	15.233	16.426	15.407	2.388
147.625	-30.726	62.351	14.810	15.989	15.259	2.384
147.750	-30.695	63.675	14.724	15.913	15.254	2.380
147.875	-30.245	64.324	14.779	15.979	15.305	2.377
148.000	-30.281	63.339	14.919	16.141	15.766	2.378
148.125	-30.468	61.649	15.122	16.364	16.644	2.382
148.250	-30.695	59.771	15.284	16.521	16.640	2.387
148.375	-30.737	59.297	15.309	16.513	16.137	2.390
148.500	-30.933	58.720	15.166	16.315	16.117	2.389
148.625	-31.264	59.040	14.911	15.998	15.742	2.386
148.750	-31.642	59.584	14.673	15.717	14.745	2.384
148.875	-31.922	60.175	14.578	15.622	14.248	2.386
149.000	-31.937	59.887	14.738	15.830	14.863	2.387
149.125	-31.937	60.142	15.108	16.274	16.847	2.384
149.250	-31.937	61.525	15.596	16.823	19.975	2.382
149.375	-31.937	63.932	16.102	17.346	21.181	2.385
149.500	-31.937	65.194	16.455	17.650	19.810	2.394
149.625	-31.937	65.014	16.531	17.634	23.600	2.402
149.750	-32.015	64.192	16.341	17.348	30.737	2.403
149.875	-32.310	64.060	16.060	16.999	28.415	2.396
150.000	-32.341	63.391	15.881	16.788	20.059	2.390
150.125	-32.341	62.228	15.852	16.751	16.441	2.391
150.250	-32.341	60.880	15.861	16.748	17.385	2.397
150.375	-32.341	60.715	15.798	16.662	18.943	2.399
150.500	-32.263	61.494	15.610	16.428	18.699	2.387
150.625	-31.937	62.462	15.289	16.037	16.906	2.365
150.750	-31.471	63.217	14.927	15.625	15.409	2.344
150.875	-31.021	64.036	14.819	15.533	14.839	2.333
151.000	-30.742	65.588	15.255	16.072	15.014	2.341
151.125	-30.649	67.566	16.166	17.119	16.795	2.366
151.250	-30.230	68.178	17.297	18.348	21.391	2.398
151.375	-29.935	67.266	18.273	19.353	25.710	2.419
151.500	-29.919	65.438	18.966	20.027	24.600	2.420
151.625	-29.842	66.033	19.439	20.476	20.400	2.413
151.750	-29.485	68.836	19.706	20.769	19.386	2.413
