0	0	0
30	1.4	260
35.58	4.08	260.36
44.88	8.31	263.08
54.31	12.97	263.17
63.53	17.49	260.36
72.92	21.9	256.49
82.36	26.1	251.92
91.73	30.6	250.08
100.75	32.48	248.76
110.16	33.32	247.79
119.39	36.86	247.35
128.54	39.44	246.74
137.95	43	246.85
146.99	46.87	246.76
156.15	51.01	246.65
160	52.58	246.76
165.59	54.86	246.91
174.87	58.02	246.76
184	58.11	246.89
184.52	58.11	246.9
194.18	59	246.7
196.3	60	246.55
203.85	63.7	246.02
213.33	65.5	246.72
222.92	69.8	246.32
232.37	73.63	246.03
241.91	77.97	246.15
251.6	82.64	245.59
261.08	87.12	246.3
273.64	90.29	246.05
277	90.34	246.09
283.08	90.42	246.17
292.45	90.5	246.2
301.47	90.34	246.1
310.88	90.64	245.98
320.03	90.32	245.93
329.44	90.12	246.1
338.48	90.54	245.88
347.64	90.76	245.7
357.08	90.34	246.12
366.36	89.8	246.08
376.02	89.67	245.76
385.67	89.85	246.03
395.22	90.11	246.2
404.91	90.02	246.2
414.56	89.92	246.2
424.09	89.67	246.33
433.79	89.88	246.01
443.64	90.13	246.21
452.95	90.27	246.31
462.32	89.93	246.34
471.86	89.87	246.54
481.35	89.76	246.54
490.91	89.97	246.54
494.08	90.22	246.54
503.45	90.55	246.4
512.47	90.4	246.44
522.02	89.8	246.12
531.52	89.9	246.05
541.18	89.7	246
550.74	90.42	246.12
560.34	90.51	246.2
569.99	90.11	246.25
579.66	89.93	246.13
589.34	90.02	246.35
598.99	90.35	246.18
608.67	90.33	245.98
616.16	90.37	246.31
625.77	90.37	246.13
635.33	90.55	246.45
644.82	90.32	246.25
654.37	90.12	246.21
664.02	89.85	246.15
673.71	89.77	246.33
683.36	89.91	246.14
702	89.7	246.14
