0	0	0
25.64	1.98	77
30	3.42	77.14
34.52	4.92	77.2
43.89	8.62	77.55
53.3	11.82	80.27
62.6	14.86	81.33
72.07	17.51	83.17
80.87	19.8	82.32
90.05	23.62	81.22
99.4	27.91	79.76
108.67	32.11	78.87
117.85	36.26	79.03
127.2	40.68	79.29
136.72	45.07	79.62
146.25	49.71	79.85
155.9	54.29	80.26
166	57.91	80.39
170	58.06	80.44
174.81	58.25	80.51
180	58.73	80.58
184.35	59.13	80.63
193.86	59.38	80.41
203.41	59.75	79.86
207	59.81	79.72
212.87	62.25	78.5
222.67	66.27	76.55
232.2	70.38	75.36
241.61	74.46	74.26
251.31	78.23	71.78
260.86	81.39	69.03
270.52	84.56	66.32
280.1	88.82	65.68
289.55	89.59	65.26
301.51	90.69	65.56
308	90.77	65.56
310.88	90.81	65.56
320.29	89.97	65.49
329.59	89.55	65.51
339.06	89.63	65.33
347.86	89.37	65.24
357.04	89.53	65.19
366.39	90.22	65.59
375.66	91.11	65.51
384.84	90.95	64.89
394.19	90.73	64.5
403.71	91.16	64.36
413.3	90.61	64.39
422.96	90.51	64.85
432.42	90.02	64.89
442.05	89.45	65.33
451.69	90.36	65.26
461.31	90.33	65.52
470.87	89.83	65.72
480.47	89.66	65.81
490.07	89.32	66.03
499.63	89.36	65.95
509.19	88.92	66.12
518.81	89.43	66.03
528.35	89.04	66.12
537.89	89.8	66.12
547.31	89.98	65.87
556.99	90.46	65.75
566.64	91.13	65.81
576.3	91.16	65.59
585.72	90.81	65.77
595.31	90.35	65.24
604.97	90.03	65.18
614.34	89.41	65.07
623.92	89.36	64.98
633.59	89.85	65.59
643.16	90.55	65.36
652.76	90.73	66.21
662.39	89.98	66.21
671.79	89.36	66.12
681.21	89.03	65.86
690.79	89.15	65.68
700.39	89.46	65.37
709.81	89.81	65.58
716	90.06	65.69
731	90.06	65.69
