0	0	0
30	1.71	262
35.25	4.13	262.73
44.16	7.69	258.6
53.28	11.91	256.32
62.32	15.78	252.98
71.47	19.08	248.76
80.56	22.24	245.51
89.54	26.08	243.72
98.66	29.35	243.29
107.6	32.47	243.07
116.73	35.38	243.18
125.86	38.44	243.26
135.01	41.5	243.05
144.16	44.82	242.96
153.24	48.23	243.31
162.38	51.6	243.57
171.53	54.85	244.19
172	55.02	244.19
180.68	58.12	244.28
189.79	58.98	243.92
190	59.06	243.92
192.34	60	243.9
198.91	62.64	243.85
207.85	66.38	244.28
217.45	70.51	245.07
227.11	74.64	245.51
236.61	78.91	245.63
246.26	83.22	245.68
256.81	87.04	245.71
264	89.3	245.75
266.46	89.51	245.79
275.95	90.21	245.77
285.21	90.76	245.7
294.21	90.96	245.68
303.24	91.13	245.88
312.28	91.22	245.64
321.43	91.26	246.1
330.52	90.86	246.27
339.5	90.18	245.8
348.62	90.03	245.89
357.56	89.95	245.34
366.69	90.32	245.55
375.82	90.48	245.46
384.97	90.64	245.41
394.12	91.16	245.86
403.2	91.68	245.82
412.34	91.77	246.18
421.49	91.15	246.35
431.14	90.43	245.98
440.63	90.29	245.95
450.28	90.08	246.11
459.87	89.86	245.68
469.74	90.12	245.81
479.33	89.85	245.39
488.92	89.97	245.88
498.44	90.08	245.82
508.04	90.11	245.97
517.59	90.24	246.37
527.12	89.91	246.08
536.8	89.85	245.93
546.53	90.01	245.66
565.37	90.14	245.64
584	90.31	245.86
