0	0	0
36	1.91	69.3
44.53	5.23	70
53.96	9.05	74
63.44	12.92	73.6
72.83	16.7	72.8
81.97	20.14	70.96
91.28	23.68	68.48
100.68	27.6	67.3
110.1	31.52	67.44
119.07	34.95	67.7
128.45	38.5	67.5
137.64	42.22	67.4
147.03	45.98	66.8
156.13	49.89	67.09
165.63	54.05	67.12
170	55.4	67.1
174.83	56.9	67.08
180	57.23	67.1
183.73	57.51	67.03
193.06	57.92	67.2
202.29	58.22	66.9
211.53	59.03	66.91
218	59.55	67.13
229.96	64.41	67.22
238.99	68.11	67
248.06	72.23	66.57
257.28	76.32	66.26
266.31	80.39	65.97
275.61	84.5	65.68
291	89.78	65.34
302.01	90.03	65.21
311.43	89.71	65.31
320.73	90.54	65.53
329.95	90.93	65.89
338.98	91.44	65.58
348.02	91.21	65.35
357.08	90.52	65.13
366.22	90.14	65.24
375.5	89.83	64.95
384.73	90.11	64.88
393.97	90.33	65.18
402.87	89.93	65.12
412.2	89.8	64.89
421.7	89.85	65.21
430.9	89.96	64.92
440.29	89.88	65.03
449.39	89.79	65.34
458.77	89.05	65.45
467.96	89.45	65.15
477.38	90.32	65.1
486.36	90.73	64.98
495.67	90.1	64.98
505.06	90.2	65.07
514.45	89.3	64.99
523.59	89.01	65.21
532.91	89.85	65.17
542.41	90.7	64.89
551.44	90.56	65.33
560.87	90.86	65.16
570.44	91.33	65.24
579.98	90.9	65.33
589.48	90.77	64.98
598.88	90.24	64.8
608.51	90.1	64.8
617.99	89.82	64.89
627.44	89.53	65.07
636.99	89.58	65.33
646.4	89.77	65.45
655.95	90.11	65.27
671	90.11	65.27
