#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FHW11113	0.000 	 0.000 	 0.000
FHW11113	0.125 	 0.458 	 0.000
FHW11113	0.250 	 0.458 	 90.000
FHW11113	0.375 	 0.458 	 0.000
FHW11113	0.500 	 0.458 	 90.000
FHW11113	0.625 	 0.458 	 0.000
FHW11113	0.750 	 0.648 	 45.000
FHW11113	0.875 	 0.000 	 90.000
FHW11113	1.000 	 0.648 	 45.000
FHW11113	1.125 	 0.000 	 90.000
FHW11113	1.250 	 0.648 	 45.000
FHW11113	1.375 	 0.458 	 0.000
FHW11113	1.500 	 0.458 	 90.000
FHW11113	1.625 	 0.458 	 0.000
FHW11113	1.750 	 0.648 	 45.000
FHW11113	1.875 	 0.000 	 90.000
FHW11113	2.000 	 0.648 	 45.000
FHW11113	2.125 	 0.000 	 90.000
FHW11113	2.250 	 0.648 	 45.000
FHW11113	2.375 	 0.458 	 0.000
FHW11113	2.500 	 0.458 	 90.000
FHW11113	2.625 	 0.458 	 0.000
FHW11113	2.750 	 0.458 	 90.000
FHW11113	2.875 	 0.458 	 0.000
FHW11113	3.000 	 0.648 	 45.000
FHW11113	3.125 	 0.000 	 90.000
FHW11113	3.250 	 0.648 	 45.000
FHW11113	3.375 	 0.000 	 90.000
FHW11113	3.500 	 0.648 	 45.000
FHW11113	3.625 	 0.458 	 0.000
FHW11113	3.750 	 0.458 	 90.000
FHW11113	3.875 	 0.458 	 0.000
FHW11113	4.000 	 0.648 	 45.000
FHW11113	4.125 	 0.000 	 90.000
FHW11113	4.250 	 0.648 	 45.000
FHW11113	4.375 	 0.000 	 90.000
FHW11113	4.500 	 0.458 	 0.000
FHW11113	4.625 	 0.648 	 45.000
FHW11113	4.750 	 0.000 	 90.000
FHW11113	4.875 	 0.648 	 45.000
FHW11113	5.000 	 0.000 	 90.000
FHW11113	5.125 	 0.648 	 45.000
FHW11113	5.250 	 0.458 	 0.000
FHW11113	5.375 	 0.458 	 90.000
FHW11113	5.500 	 0.458 	 0.000
FHW11113	5.625 	 0.458 	 90.000
FHW11113	5.750 	 0.458 	 0.000
FHW11113	5.875 	 0.648 	 45.000
FHW11113	6.000 	 0.000 	 90.000
FHW11113	6.125 	 0.648 	 45.000
FHW11113	6.250 	 0.458 	 0.000
FHW11113	6.375 	 0.458 	 90.000
FHW11113	6.500 	 0.458 	 0.000
FHW11113	6.625 	 0.458 	 90.000
FHW11113	6.750 	 0.458 	 0.000
FHW11113	6.875 	 0.648 	 45.000
FHW11113	7.000 	 0.000 	 90.000
FHW11113	7.125 	 0.648 	 45.000
FHW11113	7.250 	 0.000 	 90.000
FHW11113	7.375 	 0.648 	 45.000
FHW11113	7.500 	 0.458 	 0.000
FHW11113	7.625 	 0.458 	 90.000
FHW11113	7.750 	 0.458 	 0.000
FHW11113	7.875 	 0.458 	 90.000
FHW11113	8.000 	 0.458 	 0.000
FHW11113	8.125 	 0.648 	 45.000
FHW11113	8.250 	 0.000 	 90.000
FHW11113	8.375 	 0.648 	 45.000
FHW11113	8.500 	 0.458 	 0.000
FHW11113	8.625 	 0.458 	 90.000
FHW11113	8.750 	 0.458 	 0.000
FHW11113	8.875 	 0.458 	 90.000
FHW11113	9.000 	 0.458 	 0.000
FHW11113	9.125 	 0.458 	 0.000
FHW11113	9.250 	 0.458 	 90.000
FHW11113	9.375 	 0.458 	 0.000
FHW11113	9.500 	 0.458 	 90.000
FHW11113	9.625 	 0.458 	 0.000
FHW11113	9.750 	 0.648 	 45.000
FHW11113	9.875 	 0.000 	 90.000
FHW11113	10.000 	 0.648 	 45.000
FHW11113	10.125 	 0.000 	 90.000
FHW11113	10.250 	 0.648 	 45.000
FHW11113	10.375 	 0.458 	 0.000
FHW11113	10.500 	 0.458 	 90.000
FHW11113	10.625 	 0.458 	 0.000
FHW11113	10.750 	 0.458 	 90.000
FHW11113	10.875 	 0.458 	 0.000
FHW11113	11.000 	 0.648 	 45.000
FHW11113	11.125 	 0.000 	 90.000
FHW11113	11.250 	 0.648 	 45.000
FHW11113	11.375 	 0.458 	 0.000
FHW11113	11.500 	 0.458 	 90.000
FHW11113	11.625 	 0.458 	 0.000
FHW11113	11.750 	 0.458 	 90.000
FHW11113	11.875 	 0.458 	 0.000
FHW11113	12.000 	 0.648 	 45.000
FHW11113	12.125 	 0.000 	 90.000
FHW11113	12.250 	 0.648 	 45.000
FHW11113	12.375 	 0.000 	 90.000
FHW11113	12.500 	 0.648 	 45.000
FHW11113	12.625 	 0.458 	 0.000
FHW11113	12.750 	 0.458 	 90.000
FHW11113	12.875 	 0.458 	 0.000
FHW11113	13.000 	 0.458 	 90.000
FHW11113	13.125 	 0.458 	 0.000
FHW11113	13.250 	 0.648 	 45.000
FHW11113	13.375 	 0.000 	 90.000
FHW11113	13.500 	 0.458 	 0.000
FHW11113	13.625 	 0.648 	 45.000
FHW11113	13.750 	 0.000 	 90.000
FHW11113	13.875 	 0.648 	 45.000
FHW11113	14.000 	 0.000 	 90.000
FHW11113	14.125 	 0.648 	 45.000
FHW11113	14.250 	 0.458 	 0.000
FHW11113	14.375 	 0.458 	 90.000
FHW11113	14.500 	 0.458 	 0.000
FHW11113	14.625 	 0.458 	 90.000
FHW11113	14.750 	 0.458 	 0.000
FHW11113	14.875 	 0.648 	 45.000
FHW11113	15.000 	 0.000 	 90.000
FHW11113	15.125 	 0.648 	 45.000
