#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FD10802	0.000 	 0.000 	 0.000
FD10802	0.125 	 0.000 	 90.000
FD10802	0.250 	 0.120 	 148.418
FD10802	0.375 	 0.123 	 149.105
FD10802	0.500 	 0.125 	 148.161
FD10802	0.625 	 0.124 	 148.792
FD10802	0.750 	 0.124 	 149.314
FD10802	0.875 	 0.125 	 148.303
FD10802	1.000 	 0.125 	 148.725
FD10802	1.125 	 0.123 	 149.105
FD10802	1.250 	 0.124 	 148.725
FD10802	1.375 	 0.124 	 148.929
FD10802	1.500 	 0.124 	 149.008
FD10802	1.625 	 0.124 	 149.012
FD10802	1.750 	 0.124 	 149.312
FD10802	1.875 	 0.123 	 149.775
FD10802	2.000 	 0.123 	 149.891
FD10802	2.125 	 0.123 	 149.445
FD10802	2.250 	 0.124 	 148.533
FD10802	2.375 	 0.126 	 147.589
FD10802	2.500 	 0.129 	 146.837
FD10802	2.625 	 0.132 	 145.828
FD10802	2.750 	 0.135 	 144.659
FD10802	2.875 	 0.139 	 143.293
FD10802	3.000 	 0.142 	 141.918
FD10802	3.125 	 0.145 	 140.456
FD10802	3.250 	 0.147 	 139.219
FD10802	3.375 	 0.148 	 138.009
FD10802	3.500 	 0.150 	 137.138
FD10802	3.625 	 0.152 	 137.250
FD10802	3.750 	 0.154 	 137.478
FD10802	3.875 	 0.157 	 136.641
FD10802	4.000 	 0.161 	 135.572
FD10802	4.125 	 0.164 	 134.704
FD10802	4.250 	 0.167 	 134.306
FD10802	4.375 	 0.170 	 133.988
FD10802	4.500 	 0.173 	 133.895
FD10802	4.625 	 0.174 	 133.699
FD10802	4.750 	 0.175 	 133.006
FD10802	4.875 	 0.176 	 132.104
FD10802	5.000 	 0.177 	 130.944
FD10802	5.125 	 0.178 	 129.654
FD10802	5.250 	 0.180 	 129.641
FD10802	5.375 	 0.184 	 130.492
FD10802	5.500 	 0.189 	 131.563
FD10802	5.625 	 0.195 	 132.996
FD10802	5.750 	 0.201 	 134.224
FD10802	5.875 	 0.208 	 135.455
FD10802	6.000 	 0.214 	 136.423
FD10802	6.125 	 0.219 	 137.265
FD10802	6.250 	 0.223 	 138.011
