#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FHW12132	0.000 	 0.000 	 0.000
FHW12132	0.125 	 0.000 	 90.000
FHW12132	0.250 	 0.458 	 0.000
FHW12132	0.375 	 0.000 	 90.000
FHW12132	0.500 	 0.458 	 0.000
FHW12132	0.625 	 0.000 	 90.000
FHW12132	0.750 	 0.458 	 0.000
FHW12132	0.875 	 0.458 	 270.000
FHW12132	1.000 	 0.000 	 90.000
FHW12132	1.125 	 0.458 	 0.000
FHW12132	1.250 	 0.000 	 90.000
FHW12132	1.375 	 0.458 	 0.000
FHW12132	1.500 	 0.000 	 90.000
FHW12132	1.625 	 0.458 	 0.000
FHW12132	1.750 	 0.000 	 90.000
FHW12132	1.875 	 0.458 	 0.000
FHW12132	2.000 	 0.000 	 90.000
FHW12132	2.125 	 0.000 	 90.000
FHW12132	2.250 	 0.458 	 0.000
FHW12132	2.375 	 0.000 	 90.000
FHW12132	2.500 	 0.648 	 315.000
FHW12132	2.625 	 0.000 	 90.000
FHW12132	2.750 	 0.458 	 0.000
FHW12132	2.875 	 0.000 	 90.000
FHW12132	3.000 	 0.000 	 90.000
FHW12132	3.125 	 0.458 	 0.000
FHW12132	3.250 	 0.000 	 90.000
FHW12132	3.375 	 0.458 	 0.000
FHW12132	3.500 	 0.000 	 90.000
FHW12132	3.625 	 0.458 	 0.000
FHW12132	3.750 	 0.000 	 90.000
FHW12132	3.875 	 0.458 	 0.000
FHW12132	4.000 	 0.458 	 270.000
FHW12132	4.125 	 0.000 	 90.000
FHW12132	4.250 	 0.458 	 0.000
FHW12132	4.375 	 0.000 	 90.000
FHW12132	4.500 	 0.458 	 0.000
FHW12132	4.625 	 0.000 	 90.000
FHW12132	4.750 	 0.458 	 0.000
FHW12132	4.875 	 0.000 	 90.000
FHW12132	5.000 	 0.000 	 90.000
FHW12132	5.125 	 0.458 	 0.000
FHW12132	5.250 	 0.000 	 90.000
FHW12132	5.375 	 0.458 	 0.000
FHW12132	5.500 	 0.000 	 90.000
FHW12132	5.625 	 0.648 	 315.000
FHW12132	5.750 	 0.000 	 90.000
FHW12132	5.875 	 0.000 	 90.000
FHW12132	6.000 	 0.458 	 0.000
FHW12132	6.125 	 0.000 	 90.000
FHW12132	6.250 	 0.458 	 0.000
FHW12132	6.375 	 0.000 	 90.000
FHW12132	6.500 	 0.458 	 0.000
FHW12132	6.625 	 0.000 	 90.000
FHW12132	6.750 	 0.458 	 0.000
FHW12132	6.875 	 0.000 	 90.000
FHW12132	7.000 	 0.000 	 90.000
FHW12132	7.125 	 0.458 	 0.000
FHW12132	7.250 	 0.458 	 270.000
FHW12132	7.375 	 0.458 	 0.000
FHW12132	7.500 	 0.000 	 90.000
FHW12132	7.625 	 0.458 	 0.000
FHW12132	7.750 	 0.000 	 90.000
FHW12132	7.875 	 0.000 	 90.000
FHW12132	8.000 	 0.458 	 0.000
FHW12132	8.125 	 0.000 	 90.000
FHW12132	8.250 	 0.458 	 0.000
FHW12132	8.375 	 0.000 	 90.000
FHW12132	8.500 	 0.458 	 0.000
FHW12132	8.625 	 0.000 	 90.000
FHW12132	8.750 	 0.000 	 90.000
FHW12132	8.875 	 0.648 	 315.000
FHW12132	9.000 	 0.000 	 90.000
FHW12132	9.125 	 0.458 	 0.000
FHW12132	9.250 	 0.000 	 90.000
FHW12132	9.375 	 0.458 	 0.000
FHW12132	9.500 	 0.000 	 90.000
FHW12132	9.625 	 0.458 	 0.000
FHW12132	9.750 	 0.000 	 90.000
FHW12132	9.875 	 0.000 	 90.000
FHW12132	10.000 	 0.458 	 0.000
FHW12132	10.125 	 0.000 	 90.000
FHW12132	10.250 	 0.458 	 0.000
FHW12132	10.375 	 0.458 	 270.000
FHW12132	10.500 	 0.458 	 0.000
FHW12132	10.625 	 0.000 	 90.000
FHW12132	10.750 	 0.000 	 90.000
FHW12132	10.875 	 0.458 	 0.000
FHW12132	11.000 	 0.000 	 90.000
FHW12132	11.125 	 0.458 	 0.000
FHW12132	11.250 	 0.000 	 90.000
FHW12132	11.375 	 0.458 	 0.000
FHW12132	11.500 	 0.000 	 90.000
FHW12132	11.625 	 0.458 	 0.000
FHW12132	11.750 	 0.000 	 90.000
FHW12132	11.875 	 0.000 	 90.000
FHW12132	12.000 	 0.648 	 315.000
FHW12132	12.125 	 0.000 	 90.000
FHW12132	12.250 	 0.458 	 0.000
FHW12132	12.375 	 0.000 	 90.000
FHW12132	12.500 	 0.458 	 0.000
FHW12132	12.625 	 0.000 	 90.000
FHW12132	12.750 	 0.000 	 90.000
FHW12132	12.875 	 0.458 	 0.000
FHW12132	13.000 	 0.000 	 90.000
FHW12132	13.125 	 0.458 	 0.000
FHW12132	13.250 	 0.000 	 90.000
FHW12132	13.375 	 0.458 	 0.000
FHW12132	13.500 	 0.000 	 90.000
FHW12132	13.625 	 0.458 	 270.000
FHW12132	13.750 	 0.458 	 0.000
FHW12132	13.875 	 0.000 	 90.000
FHW12132	14.000 	 0.458 	 0.000
FHW12132	14.125 	 0.000 	 90.000
FHW12132	14.250 	 0.458 	 0.000
FHW12132	14.375 	 0.000 	 90.000
FHW12132	14.500 	 0.458 	 0.000
FHW12132	14.625 	 0.000 	 90.000
FHW12132	14.750 	 0.000 	 90.000
FHW12132	14.875 	 0.458 	 0.000
FHW12132	15.000 	 0.000 	 90.000
FHW12132	15.125 	 0.458 	 0.000
FHW12132	15.250 	 0.458 	 270.000
FHW12132	15.375 	 0.458 	 0.000
FHW12132	15.500 	 0.000 	 90.000
FHW12132	15.625 	 0.000 	 90.000
FHW12132	15.750 	 0.458 	 0.000
FHW12132	15.875 	 0.000 	 90.000
FHW12132	16.000 	 0.458 	 0.000
FHW12132	16.125 	 0.000 	 90.000
FHW12132	16.250 	 0.458 	 0.000
FHW12132	16.375 	 0.000 	 90.000
FHW12132	16.500 	 0.000 	 90.000
FHW12132	16.625 	 0.458 	 0.000
FHW12132	16.750 	 0.458 	 270.000
FHW12132	16.875 	 0.458 	 0.000
FHW12132	17.000 	 0.000 	 90.000
FHW12132	17.125 	 0.458 	 0.000
FHW12132	17.250 	 0.000 	 90.000
FHW12132	17.375 	 0.458 	 0.000
FHW12132	17.500 	 0.000 	 90.000
FHW12132	17.625 	 0.000 	 90.000
FHW12132	17.750 	 0.458 	 0.000
FHW12132	17.875 	 0.000 	 90.000
FHW12132	18.000 	 0.458 	 0.000
FHW12132	18.125 	 0.000 	 90.000
FHW12132	18.250 	 0.458 	 0.000
FHW12132	18.375 	 0.458 	 270.000
FHW12132	18.500 	 0.000 	 90.000
FHW12132	18.625 	 0.458 	 0.000
FHW12132	18.750 	 0.000 	 90.000
FHW12132	18.875 	 0.458 	 0.000
FHW12132	19.000 	 0.000 	 90.000
FHW12132	19.125 	 0.458 	 0.000
FHW12132	19.250 	 0.000 	 90.000
FHW12132	19.375 	 0.458 	 0.000
FHW12132	19.500 	 0.000 	 90.000
FHW12132	19.625 	 0.000 	 90.000
FHW12132	19.750 	 0.458 	 0.000
FHW12132	19.875 	 0.000 	 90.000
FHW12132	20.000 	 0.648 	 315.000
FHW12132	20.125 	 0.000 	 90.000
FHW12132	20.250 	 0.458 	 0.000
FHW12132	20.375 	 0.000 	 90.000
FHW12132	20.500 	 0.000 	 90.000
FHW12132	20.625 	 0.458 	 0.000
FHW12132	20.750 	 0.000 	 90.000
FHW12132	20.875 	 0.458 	 0.000
FHW12132	21.000 	 0.000 	 90.000
FHW12132	21.125 	 0.458 	 0.000
FHW12132	21.250 	 0.000 	 90.000
FHW12132	21.375 	 0.000 	 90.000
FHW12132	21.500 	 0.458 	 0.000
FHW12132	21.625 	 0.458 	 270.000
FHW12132	21.750 	 0.458 	 0.000
FHW12132	21.875 	 0.000 	 90.000
FHW12132	22.000 	 0.458 	 0.000
FHW12132	22.125 	 0.000 	 90.000
FHW12132	22.250 	 0.458 	 0.000
FHW12132	22.375 	 0.000 	 90.000
FHW12132	22.500 	 0.000 	 90.000
FHW12132	22.625 	 0.458 	 0.000
FHW12132	22.750 	 0.000 	 90.000
FHW12132	22.875 	 0.458 	 0.000
FHW12132	23.000 	 0.000 	 90.000
FHW12132	23.125 	 0.458 	 0.000
FHW12132	23.250 	 0.458 	 270.000
FHW12132	23.375 	 0.000 	 90.000
FHW12132	23.500 	 0.458 	 0.000
FHW12132	23.625 	 0.000 	 90.000
FHW12132	23.750 	 0.458 	 0.000
FHW12132	23.875 	 0.000 	 90.000
FHW12132	24.000 	 0.458 	 0.000
FHW12132	24.125 	 0.000 	 90.000
FHW12132	24.250 	 0.458 	 0.000
FHW12132	24.375 	 0.000 	 90.000
FHW12132	24.500 	 0.000 	 90.000
FHW12132	24.625 	 0.458 	 0.000
FHW12132	24.750 	 0.458 	 270.000
FHW12132	24.875 	 0.458 	 0.000
FHW12132	25.000 	 0.000 	 90.000
FHW12132	25.125 	 0.458 	 0.000
FHW12132	25.250 	 0.000 	 90.000
FHW12132	25.375 	 0.000 	 90.000
FHW12132	25.500 	 0.458 	 0.000
FHW12132	25.625 	 0.000 	 90.000
FHW12132	25.750 	 0.458 	 0.000
FHW12132	25.875 	 0.000 	 90.000
FHW12132	26.000 	 0.458 	 0.000
FHW12132	26.125 	 0.000 	 90.000
FHW12132	26.250 	 0.000 	 90.000
FHW12132	26.375 	 0.648 	 315.000
FHW12132	26.500 	 0.000 	 90.000
FHW12132	26.625 	 0.458 	 0.000
FHW12132	26.750 	 0.000 	 90.000
FHW12132	26.875 	 0.458 	 0.000
FHW12132	27.000 	 0.000 	 90.000
FHW12132	27.125 	 0.458 	 0.000
FHW12132	27.250 	 0.000 	 90.000
FHW12132	27.375 	 0.000 	 90.000
FHW12132	27.500 	 0.458 	 0.000
FHW12132	27.625 	 0.000 	 90.000
