#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FHW13187	0.000 	 0.000 	 0.000
FHW13187	0.125 	 0.458 	 0.000
FHW13187	0.250 	 0.000 	 90.000
FHW13187	0.375 	 0.648 	 315.000
FHW13187	0.500 	 0.458 	 0.000
FHW13187	0.625 	 0.458 	 0.000
FHW13187	0.750 	 0.000 	 90.000
FHW13187	0.875 	 0.458 	 0.000
FHW13187	1.000 	 0.648 	 315.000
FHW13187	1.125 	 0.458 	 0.000
FHW13187	1.250 	 0.000 	 90.000
FHW13187	1.375 	 0.458 	 0.000
FHW13187	1.500 	 0.458 	 0.000
FHW13187	1.625 	 0.458 	 270.000
FHW13187	1.750 	 0.458 	 0.000
FHW13187	1.875 	 0.458 	 0.000
FHW13187	2.000 	 0.458 	 0.000
FHW13187	2.125 	 0.000 	 90.000
FHW13187	2.250 	 0.648 	 315.000
FHW13187	2.375 	 0.458 	 0.000
FHW13187	2.500 	 0.458 	 0.000
FHW13187	2.625 	 0.000 	 90.000
FHW13187	2.750 	 0.458 	 0.000
FHW13187	2.875 	 0.458 	 0.000
FHW13187	3.000 	 0.458 	 270.000
FHW13187	3.125 	 0.458 	 0.000
FHW13187	3.250 	 0.458 	 0.000
FHW13187	3.375 	 0.458 	 0.000
FHW13187	3.500 	 0.000 	 90.000
FHW13187	3.625 	 0.648 	 315.000
FHW13187	3.750 	 0.458 	 0.000
FHW13187	3.875 	 0.458 	 0.000
FHW13187	4.000 	 0.000 	 90.000
FHW13187	4.125 	 0.458 	 0.000
FHW13187	4.250 	 0.648 	 315.000
FHW13187	4.375 	 0.458 	 0.000
FHW13187	4.500 	 0.000 	 90.000
FHW13187	4.625 	 0.458 	 0.000
FHW13187	4.750 	 0.458 	 0.000
FHW13187	4.875 	 0.458 	 270.000
FHW13187	5.000 	 0.458 	 0.000
FHW13187	5.125 	 0.458 	 0.000
FHW13187	5.250 	 0.458 	 0.000
FHW13187	5.375 	 0.000 	 90.000
FHW13187	5.500 	 0.648 	 315.000
FHW13187	5.625 	 0.458 	 0.000
FHW13187	5.750 	 0.458 	 0.000
FHW13187	5.875 	 0.000 	 90.000
FHW13187	6.000 	 0.458 	 0.000
FHW13187	6.125 	 0.648 	 315.000
FHW13187	6.250 	 0.000 	 90.000
FHW13187	6.375 	 0.458 	 0.000
FHW13187	6.500 	 0.458 	 0.000
FHW13187	6.625 	 0.458 	 0.000
FHW13187	6.750 	 0.458 	 270.000
FHW13187	6.875 	 0.458 	 0.000
FHW13187	7.000 	 0.458 	 0.000
FHW13187	7.125 	 0.458 	 0.000
FHW13187	7.250 	 0.000 	 90.000
FHW13187	7.375 	 0.648 	 315.000
FHW13187	7.500 	 0.458 	 0.000
FHW13187	7.625 	 0.000 	 90.000
FHW13187	7.750 	 0.458 	 0.000
FHW13187	7.875 	 0.458 	 0.000
FHW13187	8.000 	 0.648 	 315.000
FHW13187	8.125 	 0.000 	 90.000
FHW13187	8.250 	 0.458 	 0.000
FHW13187	8.375 	 0.458 	 0.000
FHW13187	8.500 	 0.458 	 0.000
FHW13187	8.625 	 0.000 	 90.000
FHW13187	8.750 	 0.648 	 315.000
FHW13187	8.875 	 0.458 	 0.000
FHW13187	9.000 	 0.000 	 90.000
FHW13187	9.125 	 0.458 	 0.000
FHW13187	9.250 	 0.458 	 0.000
FHW13187	9.375 	 0.648 	 315.000
FHW13187	9.500 	 0.000 	 90.000
FHW13187	9.625 	 0.458 	 0.000
FHW13187	9.750 	 0.458 	 0.000
FHW13187	9.875 	 0.458 	 0.000
FHW13187	10.000 	 0.458 	 270.000
FHW13187	10.125 	 0.458 	 0.000
FHW13187	10.250 	 0.458 	 0.000
FHW13187	10.375 	 0.458 	 0.000
FHW13187	10.500 	 0.000 	 90.000
FHW13187	10.625 	 0.648 	 315.000
FHW13187	10.750 	 0.458 	 0.000
FHW13187	10.875 	 0.000 	 90.000
FHW13187	11.000 	 0.458 	 0.000
FHW13187	11.125 	 0.458 	 0.000
FHW13187	11.250 	 0.648 	 315.000
