#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FD10666	0.000 	 0.000 	 0.000
FD10666	0.125 	 0.458 	 0.000
FD10666	0.250 	 0.458 	 90.000
FD10666	0.375 	 0.458 	 0.000
FD10666	0.500 	 0.458 	 90.000
FD10666	0.625 	 0.458 	 0.000
FD10666	0.750 	 0.458 	 90.000
FD10666	0.875 	 0.458 	 0.000
FD10666	1.000 	 0.000 	 90.000
FD10666	1.125 	 0.648 	 45.000
FD10666	1.250 	 0.000 	 90.000
FD10666	1.375 	 0.648 	 45.000
FD10666	1.500 	 0.000 	 90.000
FD10666	1.625 	 0.648 	 45.000
FD10666	1.750 	 0.000 	 90.000
FD10666	1.875 	 0.458 	 0.000
FD10666	2.000 	 0.458 	 90.000
FD10666	2.125 	 0.458 	 0.000
FD10666	2.250 	 0.458 	 90.000
FD10666	2.375 	 0.458 	 0.000
FD10666	2.500 	 0.458 	 90.000
FD10666	2.625 	 0.458 	 0.000
FD10666	2.750 	 0.000 	 90.000
FD10666	2.875 	 0.648 	 45.000
FD10666	3.000 	 0.000 	 90.000
FD10666	3.125 	 0.648 	 45.000
FD10666	3.250 	 0.000 	 90.000
FD10666	3.375 	 0.648 	 45.000
FD10666	3.500 	 0.000 	 90.000
FD10666	3.625 	 0.458 	 0.000
FD10666	3.750 	 0.458 	 90.000
FD10666	3.875 	 0.458 	 0.000
FD10666	4.000 	 0.458 	 90.000
FD10666	4.125 	 0.458 	 0.000
FD10666	4.250 	 0.458 	 90.000
FD10666	4.375 	 0.458 	 0.000
FD10666	4.500 	 0.000 	 90.000
FD10666	4.625 	 0.648 	 45.000
FD10666	4.750 	 0.000 	 90.000
FD10666	4.875 	 0.648 	 45.000
FD10666	5.000 	 0.000 	 90.000
FD10666	5.125 	 0.648 	 45.000
FD10666	5.250 	 0.000 	 90.000
FD10666	5.375 	 0.458 	 0.000
FD10666	5.500 	 0.458 	 90.000
FD10666	5.625 	 0.458 	 0.000
FD10666	5.750 	 0.458 	 90.000
FD10666	5.875 	 0.458 	 0.000
FD10666	6.000 	 0.458 	 90.000
FD10666	6.125 	 0.458 	 0.000
FD10666	6.250 	 0.000 	 90.000
FD10666	6.375 	 0.648 	 45.000
FD10666	6.500 	 0.000 	 90.000
FD10666	6.625 	 0.648 	 45.000
FD10666	6.750 	 0.000 	 90.000
FD10666	6.875 	 0.648 	 45.000
FD10666	7.000 	 0.000 	 90.000
FD10666	7.125 	 0.458 	 0.000
FD10666	7.250 	 0.458 	 90.000
FD10666	7.375 	 0.458 	 0.000
FD10666	7.500 	 0.458 	 90.000
FD10666	7.625 	 0.458 	 0.000
FD10666	7.750 	 0.458 	 90.000
FD10666	7.875 	 0.458 	 0.000
FD10666	8.000 	 0.000 	 90.000
FD10666	8.125 	 0.648 	 45.000
FD10666	8.250 	 0.000 	 90.000
FD10666	8.375 	 0.648 	 45.000
FD10666	8.500 	 0.000 	 90.000
FD10666	8.625 	 0.648 	 45.000
FD10666	8.750 	 0.000 	 90.000
