#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FHW13185	0.000 	 0.000 	 0.000
FHW13185	0.125 	 0.000 	 90.000
FHW13185	0.250 	 0.458 	 0.000
FHW13185	0.375 	 0.458 	 90.000
FHW13185	0.500 	 0.458 	 0.000
FHW13185	0.625 	 0.000 	 90.000
FHW13185	0.750 	 0.458 	 0.000
FHW13185	0.875 	 0.000 	 90.000
FHW13185	1.000 	 0.648 	 45.000
FHW13185	1.125 	 0.000 	 90.000
FHW13185	1.250 	 0.458 	 0.000
FHW13185	1.375 	 0.000 	 90.000
FHW13185	1.500 	 0.648 	 45.000
FHW13185	1.625 	 0.000 	 90.000
FHW13185	1.750 	 0.458 	 0.000
FHW13185	1.875 	 0.000 	 90.000
FHW13185	2.000 	 0.458 	 0.000
FHW13185	2.125 	 0.458 	 90.000
FHW13185	2.250 	 0.458 	 0.000
FHW13185	2.375 	 0.000 	 90.000
FHW13185	2.500 	 0.458 	 0.000
FHW13185	2.625 	 0.000 	 90.000
FHW13185	2.750 	 0.648 	 45.000
FHW13185	2.875 	 0.000 	 90.000
FHW13185	3.000 	 0.458 	 0.000
FHW13185	3.125 	 0.000 	 90.000
FHW13185	3.250 	 0.648 	 45.000
FHW13185	3.375 	 0.000 	 90.000
FHW13185	3.500 	 0.458 	 0.000
FHW13185	3.625 	 0.000 	 90.000
FHW13185	3.750 	 0.458 	 0.000
FHW13185	3.875 	 0.458 	 90.000
FHW13185	4.000 	 0.458 	 0.000
FHW13185	4.125 	 0.000 	 90.000
FHW13185	4.250 	 0.000 	 90.000
FHW13185	4.375 	 0.458 	 0.000
FHW13185	4.500 	 0.458 	 90.000
FHW13185	4.625 	 0.458 	 0.000
FHW13185	4.750 	 0.000 	 90.000
FHW13185	4.875 	 0.458 	 0.000
FHW13185	5.000 	 0.458 	 90.000
FHW13185	5.125 	 0.458 	 0.000
FHW13185	5.250 	 0.000 	 90.000
FHW13185	5.375 	 0.458 	 0.000
FHW13185	5.500 	 0.000 	 90.000
FHW13185	5.625 	 0.648 	 45.000
FHW13185	5.750 	 0.000 	 90.000
FHW13185	5.875 	 0.458 	 0.000
FHW13185	6.000 	 0.000 	 90.000
FHW13185	6.125 	 0.458 	 0.000
FHW13185	6.250 	 0.458 	 90.000
FHW13185	6.375 	 0.458 	 0.000
FHW13185	6.500 	 0.000 	 90.000
FHW13185	6.625 	 0.458 	 0.000
FHW13185	6.750 	 0.458 	 90.000
FHW13185	6.875 	 0.458 	 0.000
FHW13185	7.000 	 0.000 	 90.000
FHW13185	7.125 	 0.458 	 0.000
FHW13185	7.250 	 0.000 	 90.000
FHW13185	7.375 	 0.648 	 45.000
FHW13185	7.500 	 0.000 	 90.000
FHW13185	7.625 	 0.458 	 0.000
FHW13185	7.750 	 0.000 	 90.000
FHW13185	7.875 	 0.458 	 0.000
FHW13185	8.000 	 0.458 	 90.000
FHW13185	8.125 	 0.458 	 0.000
FHW13185	8.250 	 0.000 	 90.000
FHW13185	8.375 	 0.000 	 90.000
FHW13185	8.500 	 0.648 	 45.000
FHW13185	8.625 	 0.000 	 90.000
FHW13185	8.750 	 0.458 	 0.000
FHW13185	8.875 	 0.000 	 90.000
FHW13185	9.000 	 0.458 	 0.000
FHW13185	9.125 	 0.458 	 90.000
FHW13185	9.250 	 0.458 	 0.000
FHW13185	9.375 	 0.000 	 90.000
FHW13185	9.500 	 0.458 	 0.000
FHW13185	9.625 	 0.000 	 90.000
FHW13185	9.750 	 0.648 	 45.000
FHW13185	9.875 	 0.000 	 90.000
FHW13185	10.000 	 0.458 	 0.000
FHW13185	10.125 	 0.000 	 90.000
FHW13185	10.250 	 0.648 	 45.000
FHW13185	10.375 	 0.000 	 90.000
FHW13185	10.500 	 0.458 	 0.000
FHW13185	10.625 	 0.000 	 90.000
FHW13185	10.750 	 0.458 	 0.000
FHW13185	10.875 	 0.458 	 90.000
FHW13185	11.000 	 0.458 	 0.000
FHW13185	11.125 	 0.000 	 90.000
FHW13185	11.250 	 0.458 	 0.000
FHW13185	11.375 	 0.000 	 90.000
FHW13185	11.500 	 0.648 	 45.000
FHW13185	11.625 	 0.000 	 90.000
FHW13185	11.750 	 0.458 	 0.000
FHW13185	11.875 	 0.000 	 90.000
FHW13185	12.000 	 0.648 	 45.000
FHW13185	12.125 	 0.000 	 90.000
FHW13185	12.250 	 0.458 	 0.000
FHW13185	12.375 	 0.000 	 90.000
FHW13185	12.500 	 0.000 	 90.000
FHW13185	12.625 	 0.648 	 45.000
FHW13185	12.750 	 0.000 	 90.000
FHW13185	12.875 	 0.458 	 0.000
FHW13185	13.000 	 0.000 	 90.000
FHW13185	13.125 	 0.458 	 0.000
FHW13185	13.250 	 0.458 	 90.000
FHW13185	13.375 	 0.458 	 0.000
FHW13185	13.500 	 0.000 	 90.000
FHW13185	13.625 	 0.458 	 0.000
FHW13185	13.750 	 0.458 	 90.000
FHW13185	13.875 	 0.458 	 0.000
FHW13185	14.000 	 0.000 	 90.000
FHW13185	14.125 	 0.458 	 0.000
FHW13185	14.250 	 0.000 	 90.000
FHW13185	14.375 	 0.648 	 45.000
FHW13185	14.500 	 0.000 	 90.000
FHW13185	14.625 	 0.458 	 0.000
FHW13185	14.750 	 0.000 	 90.000
FHW13185	14.875 	 0.458 	 0.000
FHW13185	15.000 	 0.458 	 90.000
FHW13185	15.125 	 0.458 	 0.000
FHW13185	15.250 	 0.000 	 90.000
FHW13185	15.375 	 0.458 	 0.000
FHW13185	15.500 	 0.458 	 90.000
FHW13185	15.625 	 0.458 	 0.000
FHW13185	15.750 	 0.000 	 90.000
FHW13185	15.875 	 0.458 	 0.000
FHW13185	16.000 	 0.000 	 90.000
FHW13185	16.125 	 0.648 	 45.000
FHW13185	16.250 	 0.000 	 90.000
FHW13185	16.375 	 0.458 	 0.000
FHW13185	16.500 	 0.000 	 90.000
FHW13185	16.625 	 0.000 	 90.000
FHW13185	16.750 	 0.648 	 45.000
FHW13185	16.875 	 0.000 	 90.000
FHW13185	17.000 	 0.458 	 0.000
FHW13185	17.125 	 0.000 	 90.000
FHW13185	17.250 	 0.648 	 45.000
FHW13185	17.375 	 0.000 	 90.000
FHW13185	17.500 	 0.458 	 0.000
FHW13185	17.625 	 0.000 	 90.000
FHW13185	17.750 	 0.458 	 0.000
FHW13185	17.875 	 0.458 	 90.000
FHW13185	18.000 	 0.458 	 0.000
FHW13185	18.125 	 0.000 	 90.000
FHW13185	18.250 	 0.458 	 0.000
FHW13185	18.375 	 0.000 	 90.000
FHW13185	18.500 	 0.648 	 45.000
FHW13185	18.625 	 0.000 	 90.000
FHW13185	18.750 	 0.458 	 0.000
FHW13185	18.875 	 0.000 	 90.000
FHW13185	19.000 	 0.648 	 45.000
FHW13185	19.125 	 0.000 	 90.000
FHW13185	19.250 	 0.458 	 0.000
FHW13185	19.375 	 0.000 	 90.000
FHW13185	19.500 	 0.458 	 0.000
FHW13185	19.625 	 0.458 	 90.000
FHW13185	19.750 	 0.458 	 0.000
FHW13185	19.875 	 0.000 	 90.000
FHW13185	20.000 	 0.458 	 0.000
FHW13185	20.125 	 0.000 	 90.000
FHW13185	20.250 	 0.648 	 45.000
FHW13185	20.375 	 0.000 	 90.000
FHW13185	20.500 	 0.458 	 0.000
FHW13185	20.625 	 0.000 	 90.000
FHW13185	20.750 	 0.000 	 90.000
FHW13185	20.875 	 0.648 	 45.000
FHW13185	21.000 	 0.000 	 90.000
FHW13185	21.125 	 0.458 	 0.000
FHW13185	21.250 	 0.000 	 90.000
FHW13185	21.375 	 0.648 	 45.000
FHW13185	21.500 	 0.000 	 90.000
FHW13185	21.625 	 0.458 	 0.000
FHW13185	21.750 	 0.000 	 90.000
FHW13185	21.875 	 0.458 	 0.000
FHW13185	22.000 	 0.458 	 90.000
FHW13185	22.125 	 0.458 	 0.000
FHW13185	22.250 	 0.000 	 90.000
FHW13185	22.375 	 0.458 	 0.000
FHW13185	22.500 	 0.000 	 90.000
FHW13185	22.625 	 0.648 	 45.000
FHW13185	22.750 	 0.000 	 90.000
FHW13185	22.875 	 0.458 	 0.000
FHW13185	23.000 	 0.000 	 90.000
FHW13185	23.125 	 0.648 	 45.000
FHW13185	23.250 	 0.000 	 90.000
FHW13185	23.375 	 0.458 	 0.000
FHW13185	23.500 	 0.000 	 90.000
FHW13185	23.625 	 0.458 	 0.000
FHW13185	23.750 	 0.458 	 90.000
FHW13185	23.875 	 0.458 	 0.000
FHW13185	24.000 	 0.000 	 90.000
FHW13185	24.125 	 0.458 	 0.000
FHW13185	24.250 	 0.000 	 90.000
FHW13185	24.375 	 0.648 	 45.000
FHW13185	24.500 	 0.000 	 90.000
FHW13185	24.625 	 0.458 	 0.000
FHW13185	24.750 	 0.000 	 90.000
FHW13185	24.875 	 0.458 	 90.000
FHW13185	25.000 	 0.458 	 0.000
FHW13185	25.125 	 0.000 	 90.000
FHW13185	25.250 	 0.458 	 0.000
FHW13185	25.375 	 0.000 	 90.000
FHW13185	25.500 	 0.648 	 45.000
FHW13185	25.625 	 0.000 	 90.000
FHW13185	25.750 	 0.458 	 0.000
FHW13185	25.875 	 0.000 	 90.000
FHW13185	26.000 	 0.458 	 0.000
FHW13185	26.125 	 0.458 	 90.000
FHW13185	26.250 	 0.458 	 0.000
FHW13185	26.375 	 0.000 	 90.000
FHW13185	26.500 	 0.458 	 0.000
FHW13185	26.625 	 0.458 	 90.000
FHW13185	26.750 	 0.458 	 0.000
FHW13185	26.875 	 0.000 	 90.000
FHW13185	27.000 	 0.458 	 0.000
FHW13185	27.125 	 0.000 	 90.000
FHW13185	27.250 	 0.648 	 45.000
FHW13185	27.375 	 0.000 	 90.000
FHW13185	27.500 	 0.458 	 0.000
FHW13185	27.625 	 0.000 	 90.000
FHW13185	27.750 	 0.458 	 0.000
FHW13185	27.875 	 0.458 	 90.000
FHW13185	28.000 	 0.458 	 0.000
FHW13185	28.125 	 0.000 	 90.000
FHW13185	28.250 	 0.458 	 0.000
FHW13185	28.375 	 0.458 	 90.000
FHW13185	28.500 	 0.458 	 0.000
FHW13185	28.625 	 0.000 	 90.000
FHW13185	28.750 	 0.458 	 0.000
FHW13185	28.875 	 0.000 	 90.000
FHW13185	29.000 	 0.458 	 90.000
FHW13185	29.125 	 0.458 	 0.000
FHW13185	29.250 	 0.000 	 90.000
FHW13185	29.375 	 0.458 	 0.000
FHW13185	29.500 	 0.000 	 90.000
FHW13185	29.625 	 0.648 	 45.000
FHW13185	29.750 	 0.000 	 90.000
FHW13185	29.875 	 0.458 	 0.000
FHW13185	30.000 	 0.000 	 90.000
FHW13185	30.125 	 0.648 	 45.000
FHW13185	30.250 	 0.000 	 90.000
FHW13185	30.375 	 0.458 	 0.000
FHW13185	30.500 	 0.000 	 90.000
FHW13185	30.625 	 0.458 	 0.000
FHW13185	30.750 	 0.458 	 90.000
FHW13185	30.875 	 0.458 	 0.000
FHW13185	31.000 	 0.000 	 90.000
FHW13185	31.125 	 0.458 	 0.000
FHW13185	31.250 	 0.000 	 90.000
FHW13185	31.375 	 0.648 	 45.000
FHW13185	31.500 	 0.000 	 90.000
FHW13185	31.625 	 0.458 	 0.000
FHW13185	31.750 	 0.000 	 90.000
FHW13185	31.875 	 0.648 	 45.000
FHW13185	32.000 	 0.000 	 90.000
FHW13185	32.125 	 0.458 	 0.000
FHW13185	32.250 	 0.000 	 90.000
FHW13185	32.375 	 0.458 	 0.000
FHW13185	32.500 	 0.458 	 90.000
FHW13185	32.625 	 0.458 	 0.000
FHW13185	32.750 	 0.000 	 90.000
FHW13185	32.875 	 0.458 	 0.000
FHW13185	33.000 	 0.000 	 90.000
FHW13185	33.125 	 0.458 	 90.000
FHW13185	33.250 	 0.458 	 0.000
FHW13185	33.375 	 0.000 	 90.000
FHW13185	33.500 	 0.458 	 0.000
FHW13185	33.625 	 0.458 	 90.000
FHW13185	33.750 	 0.458 	 0.000
FHW13185	33.875 	 0.000 	 90.000
